Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,12:30 (17:00),Matchweek 1,Sat,Away,W,3,0,Fulham,0,5,2,40.0,0.00,0.00,26.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report
2020-09-19,20:00 (00:30),Matchweek 2,Sat,Home,W,2,1,West Ham,1,15,3,20.0,0.07,0.33,17.4,0,0,0,1.9,1.9,0.13,-0.9,-0.9,Match Report
2020-09-28,20:00 (00:30),Matchweek 3,Mon,Away,L,1,3,Liverpool,3,21,9,42.9,0.14,0.33,16.8,0,0,0,3.2,3.2,0.16,-0.2,-0.2,Match Report
2020-10-04,14:00 (18:30),Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,1,6,2,33.3,0.17,0.50,24.1,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Match Report
2020-10-17,17:30 (22:00),Matchweek 5,Sat,Away,L,0,1,Manchester City,1,13,5,38.5,0.08,0.20,16.8,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report
2020-10-25,19:15 (00:45),Matchweek 6,Sun,Home,L,0,1,Leicester City,1,6,3,50.0,0.17,0.33,30.2,1,0,0,1.2,1.2,0.19,-0.2,-0.2,Match Report
2020-11-01,16:30 (22:00),Matchweek 7,Sun,Away,W,1,0,Manchester Utd,0,9,2,22.2,0.00,0.00,18.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
2020-11-08,19:15 (00:45),Matchweek 8,Sun,Home,L,0,3,Aston Villa,2,17,5,29.4,0.12,0.40,13.0,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Match Report
2020-11-22,16:30 (22:00),Matchweek 9,Sun,Away,D,0,0,Leeds United,0,25,4,16.0,0.00,0.00,17.0,0,0,0,2.5,2.5,0.10,-2.5,-2.5,Match Report
2020-11-29,19:15 (00:45),Matchweek 10,Sun,Home,L,1,2,Wolves,2,11,5,45.5,0.18,0.40,11.4,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Match Report
2020-12-06,16:30 (22:00),Matchweek 11,Sun,Away,L,0,2,Tottenham,2,6,3,50.0,0.33,0.67,20.2,1,0,0,0.5,0.5,0.08,+1.5,+1.5,Match Report
2020-12-13,19:15 (00:45),Matchweek 12,Sun,Home,L,0,1,Burnley,0,10,2,20.0,0.00,0.00,15.4,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Match Report
2020-12-16,18:00 (23:30),Matchweek 13,Wed,Home,D,1,1,Southampton,1,13,3,23.1,0.08,0.33,22.5,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report
2020-12-19,17:30 (23:00),Matchweek 14,Sat,Away,L,1,2,Everton,1,9,2,22.2,0.11,0.50,18.1,1,0,0,0.8,0.8,0.09,+0.2,+0.2,Match Report
2020-12-26,17:30 (23:00),Matchweek 15,Sat,Home,W,3,1,Chelsea,1,18,2,11.1,0.06,0.50,15.7,1,0,1,2.3,1.5,0.08,-1.3,-0.5,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Away,W,1,0,Brighton,0,13,2,15.4,0.00,0.00,13.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report
2021-01-02,20:00 (01:30),Matchweek 17,Sat,Away,W,4,0,West Brom,0,7,3,42.9,0.00,0.00,18.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
2021-01-14,20:00 (01:30),Matchweek 18,Thu,Home,D,0,0,Crystal Palace,0,13,3,23.1,0.00,0.00,15.0,1,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report
2021-01-18,20:00 (01:30),Matchweek 19,Mon,Home,W,3,0,Newcastle Utd,0,4,1,25.0,0.00,0.00,17.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Match Report
2021-01-26,20:15 (01:45),Matchweek 20,Tue,Away,W,3,1,Southampton,1,13,5,38.5,0.08,0.20,16.7,1,0,0,1.2,1.2,0.10,-0.2,-0.2,Match Report
2021-01-30,17:30 (23:00),Matchweek 21,Sat,Home,D,0,0,Manchester Utd,0,14,3,21.4,0.00,0.00,17.1,1,0,0,1.5,1.5,0.11,-1.5,-1.5,Match Report
2021-02-02,18:00 (23:30),Matchweek 22,Tue,Away,L,1,2,Wolves,2,11,6,54.5,0.09,0.17,19.6,0,1,1,1.5,0.8,0.07,+0.5,+0.2,Match Report
2021-02-06,12:30 (18:00),Matchweek 23,Sat,Away,L,0,1,Aston Villa,1,12,8,66.7,0.08,0.13,16.4,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Match Report
2021-02-14,16:30 (22:00),Matchweek 24,Sun,Home,W,4,2,Leeds United,2,9,5,55.6,0.22,0.40,16.7,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Match Report
2021-02-21,16:30 (22:00),Matchweek 25,Sun,Home,L,0,1,Manchester City,1,15,3,20.0,0.07,0.33,15.4,0,0,0,2.1,2.1,0.14,-1.1,-1.1,Match Report
2021-02-28,12:00 (17:30),Matchweek 26,Sun,Away,W,3,1,Leicester City,1,8,3,37.5,0.13,0.33,17.5,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Match Report
2021-03-06,12:30 (18:00),Matchweek 27,Sat,Away,D,1,1,Burnley,1,9,5,55.6,0.11,0.20,18.4,0,0,0,1.5,1.5,0.17,-0.5,-0.5,Match Report
2021-03-14,16:30 (22:00),Matchweek 28,Sun,Home,W,2,1,Tottenham,1,6,2,33.3,0.17,0.50,17.2,2,0,0,0.6,0.6,0.10,+0.4,+0.4,Match Report
2021-03-21,15:00 (20:30),Matchweek 29,Sun,Away,D,3,3,West Ham,3,15,5,33.3,0.20,0.60,12.4,0,0,0,2.3,2.3,0.16,+0.7,+0.7,Match Report
,,,,,11-6-12,40,32,,29,333,106,31.8,0.08,0.26,17.0,9,1,2,35.0,33.5,0.10,-6.0,-5.5,
