Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-21,18:00 (22:30),Matchweek 2,Mon,Home,W,1,0,Sheffield Utd,0,3,0,0.0,0.00,,20.3,0,0,1,0.9,0.1,0.03,-0.9,-0.1,Match Report
2020-09-28,17:45 (22:15),Matchweek 3,Mon,Away,W,3,0,Fulham,0,16,2,12.5,0.00,0.00,16.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Match Report
2020-10-04,19:15 (23:45),Matchweek 4,Sun,Home,W,7,2,Liverpool,2,14,8,57.1,0.14,0.25,15.8,1,0,0,1.8,1.8,0.13,+0.2,+0.2,Match Report
2020-10-18,19:15 (23:45),Matchweek 5,Sun,Away,W,1,0,Leicester City,0,11,5,45.5,0.00,0.00,18.9,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
2020-10-23,20:00 (00:30),Matchweek 6,Fri,Home,L,0,3,Leeds United,3,28,9,32.1,0.11,0.33,16.3,1,0,0,3.6,3.6,0.13,-0.6,-0.6,Match Report
2020-11-01,12:00 (17:30),Matchweek 7,Sun,Home,L,3,4,Southampton,4,9,4,44.4,0.44,1.00,17.4,2,0,0,0.7,0.7,0.08,+3.3,+3.3,Match Report
2020-11-08,19:15 (00:45),Matchweek 8,Sun,Away,W,3,0,Arsenal,0,13,2,15.4,0.00,0.00,15.6,0,0,0,1.5,1.5,0.12,-1.5,-1.5,Match Report
2020-11-21,15:00 (20:30),Matchweek 9,Sat,Home,L,1,2,Brighton,2,7,3,42.9,0.29,0.67,13.2,0,0,0,1.3,1.3,0.19,+0.7,+0.7,Match Report
2020-11-30,20:00 (01:30),Matchweek 10,Mon,Away,L,1,2,West Ham,2,6,2,33.3,0.33,1.00,14.1,0,0,0,0.6,0.6,0.09,+1.4,+1.4,Match Report
2020-12-12,12:30 (18:00),Matchweek 12,Sat,Away,W,1,0,Wolves,0,16,7,43.8,0.00,0.00,17.4,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Match Report
2020-12-17,18:00 (23:30),Matchweek 13,Thu,Home,D,0,0,Burnley,0,6,4,66.7,0.00,0.00,18.9,1,0,0,0.4,0.4,0.07,-0.4,-0.4,Match Report
