Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-14,20:15 (00:45),Matchweek 1,Mon,Home,L,1,3,Chelsea,3,9,4,44.4,0.22,0.50,19.8,0,1,1,1.2,0.4,0.04,+1.8,+1.6,Match Report
2020-09-20,14:00 (18:30),Matchweek 2,Sun,Away,W,3,0,Newcastle Utd,0,6,0,0.0,0.00,,20.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Match Report
2020-09-26,12:30 (17:00),Matchweek 3,Sat,Home,L,2,3,Manchester Utd,2,6,2,33.3,0.17,0.50,17.8,0,1,1,1.1,0.3,0.05,+0.9,+0.7,Match Report
2020-10-03,15:00 (19:30),Matchweek 4,Sat,Away,L,2,4,Everton,4,11,6,54.5,0.36,0.67,16.3,0,0,0,1.8,1.8,0.16,+2.2,+2.2,Match Report
2020-10-18,14:00 (18:30),Matchweek 5,Sun,Away,D,1,1,Crystal Palace,1,0,0,,,,,0,1,1,0.8,0.0,,+0.2,0.0,Match Report
2020-10-26,17:30 (23:00),Matchweek 6,Mon,Home,D,1,1,West Brom,1,9,3,33.3,0.11,0.33,20.5,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Match Report
2020-11-01,19:15 (00:45),Matchweek 7,Sun,Away,L,1,2,Tottenham,2,8,2,25.0,0.13,0.50,17.1,1,1,1,1.8,1.0,0.14,+0.2,0.0,Match Report
2020-11-06,17:30 (23:00),Matchweek 8,Fri,Home,D,0,0,Burnley,0,4,1,25.0,0.00,0.00,11.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Match Report
2020-11-21,15:00 (20:30),Matchweek 9,Sat,Away,W,2,1,Aston Villa,1,15,4,26.7,0.07,0.25,17.9,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report
2020-11-28,12:30 (18:00),Matchweek 10,Sat,Home,D,1,1,Liverpool,1,6,2,33.3,0.17,0.50,20.9,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Match Report
2020-12-07,20:00 (01:30),Matchweek 11,Mon,Home,L,1,2,Southampton,2,9,2,22.2,0.11,0.50,19.6,0,1,1,1.1,0.4,0.04,+0.9,+0.6,Match Report
2020-12-13,19:15 (00:45),Matchweek 12,Sun,Away,L,0,3,Leicester City,3,16,6,37.5,0.19,0.50,16.3,0,0,0,1.7,1.7,0.11,+1.3,+1.3,Match Report
