Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-20,19:00 (23:30),Matchweek 2,Sun,Away,L,2,4,Leicester City,3,12,6,50.0,0.25,0.50,15.9,0,0,0,1.4,1.4,0.12,+1.6,+1.6,Match Report
2020-09-26,20:00 (00:30),Matchweek 3,Sat,Home,L,0,1,Southampton,1,5,1,20.0,0.20,1.00,14.7,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Match Report
2020-10-03,20:00 (00:30),Matchweek 4,Sat,Away,L,1,3,Newcastle Utd,3,9,4,44.4,0.22,0.50,19.4,0,1,1,2.0,1.2,0.14,+1.0,+0.8,Match Report
2020-10-19,17:30 (22:00),Matchweek 5,Mon,Away,D,0,0,West Brom,0,13,6,46.2,0.00,0.00,16.2,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Match Report
2020-10-26,20:00 (01:30),Matchweek 6,Mon,Home,L,0,1,Tottenham,1,8,3,37.5,0.13,0.33,14.5,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Match Report
2020-10-31,15:00 (20:30),Matchweek 7,Sat,Home,L,0,3,Chelsea,3,14,9,64.3,0.21,0.33,16.8,1,0,0,1.4,1.4,0.10,+1.6,+1.6,Match Report
2020-11-06,17:30 (23:00),Matchweek 8,Fri,Away,D,0,0,Brighton,0,19,3,15.8,0.00,0.00,15.9,1,0,0,1.3,1.3,0.07,-1.3,-1.3,Match Report
2020-11-23,17:30 (23:00),Matchweek 9,Mon,Home,W,1,0,Crystal Palace,0,15,5,33.3,0.00,0.00,18.7,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Match Report
2020-11-28,15:00 (20:30),Matchweek 10,Sat,Away,L,0,5,Manchester City,5,19,7,36.8,0.26,0.71,15.8,0,0,0,2.8,2.8,0.15,+2.2,+2.2,Match Report
2020-12-05,12:30 (18:00),Matchweek 11,Sat,Home,D,1,1,Everton,1,13,6,46.2,0.08,0.17,17.8,0,0,0,1.7,1.7,0.13,-0.7,-0.7,Match Report
2020-12-13,19:15 (00:45),Matchweek 12,Sun,Away,W,1,0,Arsenal,0,18,6,33.3,0.00,0.00,15.8,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Match Report
2020-12-17,18:00 (23:30),Matchweek 13,Thu,Away,D,0,0,Aston Villa,0,27,6,22.2,0.00,0.00,16.2,1,0,0,2.0,2.0,0.08,-2.0,-2.0,Match Report
2020-12-21,17:30 (23:00),Matchweek 14,Mon,Home,W,2,1,Wolves,1,14,2,14.3,0.00,0.00,19.6,1,1,1,1.4,0.6,0.04,-0.4,-0.6,Match Report
2020-12-27,12:00 (17:30),Matchweek 15,Sun,Away,L,0,1,Leeds United,1,10,3,30.0,0.00,0.00,20.1,0,1,1,1.8,1.1,0.11,-0.8,-1.1,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Home,W,1,0,Sheffield Utd,0,7,2,28.6,0.00,0.00,15.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
2021-01-12,20:15 (01:45),Matchweek 1,Tue,Home,L,0,1,Manchester Utd,1,13,7,53.8,0.08,0.14,17.0,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
2021-01-16,15:00 (20:30),Matchweek 19,Sat,Away,L,0,1,West Ham,1,14,3,21.4,0.07,0.33,13.5,1,0,0,1.7,1.7,0.12,-0.7,-0.7,Match Report
2021-01-21,20:00 (01:30),Matchweek 18,Thu,Away,W,1,0,Liverpool,0,27,6,22.2,0.00,0.00,17.3,0,0,0,2.3,2.3,0.09,-2.3,-2.3,Match Report
2021-01-27,18:00 (23:30),Matchweek 20,Wed,Home,W,3,2,Aston Villa,2,18,10,55.6,0.11,0.20,15.0,1,0,0,2.1,2.1,0.12,-0.1,-0.1,Match Report
2021-01-31,12:00 (17:30),Matchweek 21,Sun,Away,L,0,2,Chelsea,2,19,8,42.1,0.11,0.25,16.1,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Match Report
2021-02-03,18:00 (23:30),Matchweek 22,Wed,Home,L,0,2,Manchester City,2,13,6,46.2,0.15,0.33,15.0,0,0,0,2.6,2.6,0.21,-0.6,-0.6,Match Report
2021-02-06,15:00 (20:30),Matchweek 23,Sat,Home,D,1,1,Brighton,1,10,2,20.0,0.10,0.50,17.4,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report
2021-02-13,15:00 (20:30),Matchweek 24,Sat,Away,W,3,0,Crystal Palace,0,13,3,23.1,0.00,0.00,18.1,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
