Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-14,20:15 (00:45),Matchweek 1,Mon,Away,W,3,1,Brighton,1,13,3,23.1,0.08,0.33,17.2,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Match Report
2020-09-20,16:30 (21:00),Matchweek 2,Sun,Home,L,0,2,Liverpool,2,17,5,29.4,0.12,0.40,17.7,1,0,0,2.6,2.6,0.16,-0.6,-0.6,Match Report
2020-09-26,17:30 (22:00),Matchweek 3,Sat,Away,D,3,3,West Brom,3,9,3,33.3,0.33,1.00,20.5,0,0,0,1.0,1.0,0.11,+2.0,+2.0,Match Report
2020-10-03,12:30 (17:00),Matchweek 4,Sat,Home,W,4,0,Crystal Palace,0,4,0,0.0,0.00,,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report
2020-10-17,15:00 (19:30),Matchweek 5,Sat,Home,D,3,3,Southampton,3,13,6,46.2,0.23,0.50,17.0,0,0,0,2.2,2.2,0.17,+0.8,+0.8,Match Report
2020-10-24,17:30 (22:00),Matchweek 6,Sat,Away,D,0,0,Manchester Utd,0,14,4,28.6,0.00,0.00,16.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
2020-10-31,15:00 (20:30),Matchweek 7,Sat,Away,W,3,0,Burnley,0,5,0,0.0,0.00,,23.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Match Report
2020-11-07,17:30 (23:00),Matchweek 8,Sat,Home,W,4,1,Sheffield Utd,1,6,3,50.0,0.17,0.33,18.5,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Match Report
2020-11-21,12:30 (18:00),Matchweek 9,Sat,Away,W,2,0,Newcastle Utd,0,8,1,12.5,0.00,0.00,24.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
2020-11-29,16:30 (22:00),Matchweek 10,Sun,Home,D,0,0,Tottenham,0,5,1,20.0,0.00,0.00,24.6,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Match Report
