Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,15:00 (19:30),Matchweek 1,Sat,Home,W,1,0,Southampton,0,9,5,55.6,0.00,0.00,15.6,2,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report
2020-09-19,17:30 (22:00),Matchweek 2,Sat,Away,W,3,1,Manchester Utd,1,17,4,23.5,0.06,0.25,18.9,1,0,0,1.1,1.1,0.06,-0.1,-0.1,Match Report
2020-09-26,15:00 (19:30),Matchweek 3,Sat,Home,L,1,2,Everton,2,9,4,44.4,0.11,0.25,16.6,1,1,1,2.0,1.3,0.14,0.0,-0.3,Match Report
2020-10-03,12:30 (17:00),Matchweek 4,Sat,Away,L,0,4,Chelsea,4,15,4,26.7,0.13,0.50,15.5,0,2,2,2.5,1.0,0.07,+1.5,+1.0,Match Report
2020-10-18,14:00 (18:30),Matchweek 5,Sun,Home,D,1,1,Brighton,1,17,3,17.6,0.06,0.33,17.3,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report
2020-10-24,15:00 (19:30),Matchweek 6,Sat,Away,W,2,1,Fulham,1,16,3,18.8,0.06,0.33,18.2,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report
2020-10-30,20:00 (01:30),Matchweek 7,Fri,Away,L,0,2,Wolves,2,15,5,33.3,0.13,0.40,18.6,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Match Report
2020-11-07,15:00 (20:30),Matchweek 8,Sat,Home,W,4,1,Leeds United,1,9,3,33.3,0.11,0.33,17.4,1,0,0,0.8,0.8,0.09,+0.2,+0.2,Match Report
2020-11-23,17:30 (23:00),Matchweek 9,Mon,Away,L,0,1,Burnley,1,10,5,50.0,0.10,0.20,16.7,0,0,0,1.6,1.6,0.17,-0.6,-0.6,Match Report
2020-11-27,20:00 (01:30),Matchweek 10,Fri,Home,L,0,2,Newcastle Utd,2,14,7,50.0,0.14,0.29,17.5,2,0,0,1.5,1.5,0.10,+0.5,+0.5,Match Report
2020-12-06,12:00 (17:30),Matchweek 11,Sun,Away,W,5,1,West Brom,1,9,4,44.4,0.11,0.25,16.0,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Match Report
2020-12-13,14:15 (19:45),Matchweek 12,Sun,Home,D,1,1,Tottenham,1,14,6,42.9,0.07,0.17,20.5,3,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
2020-12-16,20:00 (01:30),Matchweek 13,Wed,Away,D,1,1,West Ham,1,9,2,22.2,0.11,0.50,19.1,1,0,0,0.3,0.3,0.03,+0.7,+0.7,Match Report
2020-12-19,12:30 (18:00),Matchweek 14,Sat,Home,L,0,7,Liverpool,7,14,7,50.0,0.50,1.00,13.2,1,0,0,2.1,2.1,0.15,+4.9,+4.9,Match Report
2020-12-26,15:00 (20:30),Matchweek 15,Sat,Away,L,0,3,Aston Villa,3,21,10,47.6,0.14,0.30,11.7,0,0,0,3.5,3.5,0.18,-0.5,-0.5,Match Report
2020-12-28,15:00 (20:30),Matchweek 16,Mon,Home,D,1,1,Leicester City,1,16,2,12.5,0.06,0.50,19.8,2,0,1,1.8,1.0,0.06,-0.8,0.0,Match Report
2021-01-02,15:00 (20:30),Matchweek 17,Sat,Home,W,2,0,Sheffield Utd,0,7,2,28.6,0.00,0.00,17.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
2021-01-14,20:00 (01:30),Matchweek 18,Thu,Away,D,0,0,Arsenal,0,12,4,33.3,0.00,0.00,18.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
2021-01-17,19:15 (00:45),Matchweek 19,Sun,Away,L,0,4,Manchester City,4,13,6,46.2,0.31,0.67,17.8,2,0,0,0.9,0.9,0.07,+3.1,+3.1,Match Report
2021-01-26,18:00 (23:30),Matchweek 20,Tue,Home,L,2,3,West Ham,3,17,7,41.2,0.18,0.43,14.2,0,0,0,3.0,3.0,0.20,0.0,0.0,Match Report
2021-01-30,15:00 (20:30),Matchweek 21,Sat,Home,W,1,0,Wolves,0,6,4,66.7,0.00,0.00,14.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Match Report
2021-02-02,20:15 (01:45),Matchweek 22,Tue,Away,W,2,1,Newcastle Utd,1,21,5,23.8,0.05,0.20,15.4,1,0,0,1.8,1.8,0.09,-0.8,-0.8,Match Report
2021-02-08,20:00 (01:30),Matchweek 23,Mon,Away,L,0,2,Leeds United,2,17,7,41.2,0.12,0.29,13.4,1,0,0,2.8,2.8,0.17,-0.8,-0.8,Match Report
2021-02-13,15:00 (20:30),Matchweek 24,Sat,Home,L,0,3,Burnley,3,16,4,25.0,0.19,0.75,17.5,0,0,0,1.3,1.3,0.08,+1.7,+1.7,Match Report
2021-02-22,20:00 (01:30),Matchweek 25,Mon,Away,W,2,1,Brighton,1,24,5,20.8,0.04,0.20,13.8,0,0,0,2.6,2.6,0.12,-1.6,-1.6,Match Report
2021-02-28,12:00 (17:30),Matchweek 26,Sun,Home,D,0,0,Fulham,0,17,5,29.4,0.00,0.00,18.4,1,0,0,1.0,1.0,0.06,-1.0,-1.0,Match Report
