Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-13,16:30 (21:00),Matchweek 1,Sun,Away,W,1,0,Tottenham,0,10,5,50.0,0.00,0.00,11.6,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Match Report
2020-09-19,12:30 (17:00),Matchweek 2,Sat,Home,W,5,2,West Brom,2,6,4,66.7,0.33,0.50,22.1,1,0,0,0.3,0.3,0.05,+1.7,+1.7,Match Report
2020-09-26,15:00 (19:30),Matchweek 3,Sat,Away,W,2,1,Crystal Palace,1,8,1,12.5,0.13,1.00,16.5,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Match Report
2020-10-03,15:00 (19:30),Matchweek 4,Sat,Home,W,4,2,Brighton,2,11,3,27.3,0.18,0.67,18.2,1,0,0,1.2,1.2,0.11,+0.8,+0.8,Match Report
2020-10-17,12:30 (17:00),Matchweek 5,Sat,Home,D,2,2,Liverpool,2,22,8,36.4,0.09,0.25,15.0,1,0,0,2.2,2.2,0.11,-0.2,-0.2,Match Report
2020-10-25,14:00 (19:30),Matchweek 6,Sun,Away,L,0,2,Southampton,2,12,6,50.0,0.17,0.33,17.6,0,0,0,0.7,0.7,0.06,+1.3,+1.3,Match Report
2020-11-01,14:00 (19:30),Matchweek 7,Sun,Away,L,1,2,Newcastle Utd,2,9,3,33.3,0.11,0.33,16.9,0,1,1,2.5,1.7,0.19,-0.5,-0.7,Match Report
2020-11-07,12:30 (18:00),Matchweek 8,Sat,Home,L,1,3,Manchester Utd,3,13,5,38.5,0.23,0.60,20.8,2,0,0,1.6,1.6,0.12,+1.4,+1.4,Match Report
2020-11-22,12:00 (17:30),Matchweek 9,Sun,Away,W,3,2,Fulham,2,13,6,46.2,0.15,0.33,18.9,0,0,1,1.3,1.3,0.10,+0.7,+0.7,Match Report
2020-11-28,17:30 (23:00),Matchweek 10,Sat,Home,L,0,1,Leeds United,1,22,6,27.3,0.05,0.17,16.7,0,0,0,2.9,2.9,0.14,-1.9,-1.9,Match Report
2020-12-05,12:30 (18:00),Matchweek 11,Sat,Away,D,1,1,Burnley,1,8,3,37.5,0.13,0.33,17.2,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Match Report
