Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,12:30 (17:00),Matchweek 1,Sat,Home,L,0,3,Arsenal,3,13,5,38.5,0.23,0.60,13.6,2,0,0,1.8,1.8,0.16,+1.2,+1.2,Match Report
2020-09-19,15:00 (19:30),Matchweek 2,Sat,Away,L,3,4,Leeds United,4,9,6,66.7,0.33,0.50,16.1,1,1,1,1.7,1.0,0.11,+2.3,+2.0,Match Report
2020-09-28,17:45 (22:15),Matchweek 3,Mon,Home,L,0,3,Aston Villa,3,12,5,41.7,0.25,0.60,14.1,0,0,0,1.6,1.6,0.14,+1.4,+1.4,Match Report
2020-10-04,14:00 (18:30),Matchweek 4,Sun,Away,L,0,1,Wolves,1,14,5,35.7,0.07,0.20,18.4,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
2020-10-18,12:00 (16:30),Matchweek 5,Sun,Away,D,1,1,Sheffield Utd,1,9,5,55.6,0.00,0.00,19.1,0,1,1,1.5,0.7,0.08,-0.5,-0.7,Match Report
2020-10-24,15:00 (19:30),Matchweek 6,Sat,Home,L,1,2,Crystal Palace,2,14,10,71.4,0.14,0.20,11.7,1,0,0,2.6,2.6,0.19,-0.6,-0.6,Match Report
2020-11-02,17:30 (23:00),Matchweek 7,Mon,Home,W,2,0,West Brom,0,10,1,10.0,0.00,0.00,20.6,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
2020-11-07,20:00 (01:30),Matchweek 8,Sat,Away,L,0,1,West Ham,1,16,7,43.8,0.06,0.14,14.5,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report
2020-11-22,12:00 (17:30),Matchweek 9,Sun,Home,L,2,3,Everton,3,9,7,77.8,0.33,0.43,15.1,0,0,0,1.6,1.6,0.17,+1.4,+1.4,Match Report
2020-11-30,17:30 (23:00),Matchweek 10,Mon,Away,W,2,1,Leicester City,1,17,4,23.5,0.06,0.25,18.1,1,0,0,0.9,0.9,0.05,+0.1,+0.1,Match Report
2020-12-05,15:00 (20:30),Matchweek 11,Sat,Away,L,0,2,Manchester City,2,15,5,33.3,0.07,0.20,16.0,0,1,1,3.0,2.2,0.15,-1.0,-1.2,Match Report
2020-12-13,16:30 (22:00),Matchweek 12,Sun,Home,D,1,1,Liverpool,1,11,5,45.5,0.00,0.00,20.0,1,1,1,2.1,1.4,0.13,-1.1,-1.4,Match Report
2020-12-16,20:00 (01:30),Matchweek 13,Wed,Home,D,0,0,Brighton,0,9,3,33.3,0.00,0.00,17.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
2020-12-19,20:00 (01:30),Matchweek 14,Sat,Away,D,1,1,Newcastle Utd,1,10,4,40.0,0.00,0.00,21.8,2,1,1,1.4,0.6,0.06,-0.4,-0.6,Match Report
2020-12-26,15:00 (20:30),Matchweek 15,Sat,Home,D,0,0,Southampton,0,3,2,66.7,0.00,0.00,20.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report
2021-01-13,20:15 (01:45),Matchweek 16,Wed,Away,D,1,1,Tottenham,1,15,6,40.0,0.07,0.17,15.2,1,0,0,2.3,2.3,0.16,-1.3,-1.3,Match Report
2021-01-16,17:30 (23:00),Matchweek 19,Sat,Home,L,0,1,Chelsea,1,21,6,28.6,0.05,0.17,17.1,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Match Report
2021-01-20,20:15 (01:45),Matchweek 18,Wed,Home,L,1,2,Manchester Utd,2,16,5,31.3,0.13,0.40,15.1,1,0,0,1.2,1.2,0.08,+0.8,+0.8,Match Report
2021-01-27,19:30 (01:00),Matchweek 20,Wed,Away,D,0,0,Brighton,0,16,5,31.3,0.00,0.00,14.8,1,0,0,2.0,2.0,0.13,-2.0,-2.0,Match Report
2021-01-30,15:00 (20:30),Matchweek 21,Sat,Away,D,2,2,West Brom,2,5,3,60.0,0.40,0.67,14.8,0,0,0,0.6,0.6,0.12,+1.4,+1.4,Match Report
2021-02-03,18:00 (23:30),Matchweek 22,Wed,Home,L,0,2,Leicester City,2,9,5,55.6,0.22,0.40,15.2,0,0,0,1.1,1.1,0.12,+0.9,+0.9,Match Report
2021-02-06,17:30 (23:00),Matchweek 23,Sat,Home,D,0,0,West Ham,0,8,1,12.5,0.00,0.00,12.7,1,0,0,0.8,0.8,0.10,-0.8,-0.8,Match Report
2021-02-14,19:00 (00:30),Matchweek 24,Sun,Away,W,2,0,Everton,0,7,2,28.6,0.00,0.00,16.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
2021-02-17,18:00 (23:30),Matchweek 17,Wed,Away,D,1,1,Burnley,1,8,3,37.5,0.13,0.33,12.6,0,0,0,1.4,1.4,0.18,-0.4,-0.4,Match Report
2021-02-20,20:00 (01:30),Matchweek 25,Sat,Home,W,1,0,Sheffield Utd,0,3,2,66.7,0.00,0.00,9.0,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Match Report
2021-02-28,12:00 (17:30),Matchweek 26,Sun,Away,D,0,0,Crystal Palace,0,3,0,0.0,0.00,,14.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Match Report
