Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,17:30 (22:00),Matchweek 1,Sat,Away,L,3,4,Liverpool,4,20,4,20.0,0.10,0.50,17.0,0,2,2,3.3,1.8,0.09,+0.7,+0.2,Match Report
2020-09-19,15:00 (19:30),Matchweek 2,Sat,Home,W,4,3,Fulham,3,13,5,38.5,0.15,0.40,20.9,1,1,1,1.8,1.0,0.08,+1.2,+1.0,Match Report
2020-09-27,12:00 (16:30),Matchweek 3,Sun,Away,W,1,0,Sheffield Utd,0,13,3,23.1,0.00,0.00,16.7,0,0,0,1.6,1.6,0.12,-1.6,-1.6,Match Report
2020-10-03,17:30 (22:00),Matchweek 4,Sat,Home,D,1,1,Manchester City,1,23,1,4.3,0.04,1.00,17.6,1,0,0,1.5,1.5,0.06,-0.5,-0.5,Match Report
2020-10-19,20:00 (00:30),Matchweek 5,Mon,Home,L,0,1,Wolves,1,7,3,42.9,0.14,0.33,16.6,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Match Report
2020-10-23,20:00 (00:30),Matchweek 6,Fri,Away,W,3,0,Aston Villa,0,12,3,25.0,0.00,0.00,18.2,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Match Report
2020-11-02,20:00 (01:30),Matchweek 7,Mon,Home,L,1,4,Leicester City,4,9,7,77.8,0.33,0.43,14.4,0,1,1,3.5,2.7,0.32,+0.5,+0.3,Match Report
2020-11-07,15:00 (20:30),Matchweek 8,Sat,Away,L,1,4,Crystal Palace,3,10,6,60.0,0.30,0.50,16.7,1,0,0,0.9,0.9,0.09,+2.1,+2.1,Match Report
2020-11-22,16:30 (22:00),Matchweek 9,Sun,Home,D,0,0,Arsenal,0,9,2,22.2,0.00,0.00,18.5,2,0,0,0.9,0.9,0.10,-0.9,-0.9,Match Report
2020-11-28,17:30 (23:00),Matchweek 10,Sat,Away,W,1,0,Everton,0,17,9,52.9,0.00,0.00,16.1,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Match Report
2020-12-05,20:00 (01:30),Matchweek 11,Sat,Away,L,1,3,Chelsea,3,23,10,43.5,0.13,0.30,11.4,0,0,0,3.7,3.7,0.16,-0.7,-0.7,Match Report
2020-12-11,20:00 (01:30),Matchweek 12,Fri,Home,L,1,2,West Ham,2,19,7,36.8,0.11,0.29,15.5,1,0,0,1.9,1.9,0.10,+0.1,+0.1,Match Report
2020-12-16,18:00 (23:30),Matchweek 13,Wed,Home,W,5,2,Newcastle Utd,2,9,4,44.4,0.22,0.50,13.0,1,0,0,0.9,0.9,0.11,+1.1,+1.1,Match Report
2020-12-20,16:30 (22:00),Matchweek 14,Sun,Away,L,2,6,Manchester Utd,6,25,14,56.0,0.20,0.36,14.8,0,1,1,4.0,3.2,0.13,+2.0,+1.8,Match Report
2020-12-27,12:00 (17:30),Matchweek 15,Sun,Home,W,1,0,Burnley,0,14,6,42.9,0.00,0.00,15.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Away,W,5,0,West Brom,0,4,1,25.0,0.00,0.00,20.2,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Match Report
2021-01-02,12:30 (18:00),Matchweek 17,Sat,Away,L,0,3,Tottenham,3,19,6,31.6,0.11,0.33,18.8,0,1,1,2.6,1.8,0.10,+0.4,+0.2,Match Report
2021-01-16,15:00 (20:30),Matchweek 19,Sat,Home,L,0,1,Brighton,1,7,2,28.6,0.14,0.50,15.5,0,0,0,1.3,1.3,0.19,-0.3,-0.3,Match Report
2021-01-26,18:00 (23:30),Matchweek 20,Tue,Away,W,2,1,Newcastle Utd,1,22,5,22.7,0.05,0.20,21.1,4,0,0,1.4,1.4,0.06,-0.4,-0.4,Match Report
2021-01-31,14:00 (19:30),Matchweek 21,Sun,Away,W,3,1,Leicester City,1,18,8,44.4,0.06,0.13,18.6,1,0,0,1.9,1.9,0.11,-0.9,-0.9,Match Report
2021-02-03,19:30 (01:00),Matchweek 22,Wed,Home,L,1,2,Everton,2,10,6,60.0,0.20,0.33,15.0,0,0,0,1.8,1.8,0.19,+0.2,+0.2,Match Report
2021-02-08,20:00 (01:30),Matchweek 23,Mon,Home,W,2,0,Crystal Palace,0,8,3,37.5,0.00,0.00,18.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
2021-02-14,16:30 (22:00),Matchweek 24,Sun,Away,L,2,4,Arsenal,4,12,4,33.3,0.25,0.75,18.0,0,1,1,2.4,1.6,0.14,+1.6,+1.4,Match Report
2021-02-19,20:00 (01:30),Matchweek 25,Fri,Away,L,0,1,Wolves,0,16,5,31.3,0.00,0.00,22.1,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
2021-02-23,18:00 (23:30),Matchweek 18,Tue,Home,W,3,0,Southampton,0,13,5,38.5,0.00,0.00,17.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
2021-02-27,17:30 (23:00),Matchweek 26,Sat,Home,L,0,1,Aston Villa,1,9,4,44.4,0.11,0.25,15.1,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Match Report
2021-03-08,20:00 (01:30),Matchweek 27,Mon,Away,L,0,2,West Ham,2,15,4,26.7,0.13,0.50,19.4,1,0,1,1.9,1.0,0.07,+0.1,+1.0,Match Report
2021-03-13,12:30 (18:00),Matchweek 28,Sat,Home,D,0,0,Chelsea,0,15,8,53.3,0.00,0.00,17.2,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Match Report
2021-03-19,20:00 (01:30),Matchweek 29,Fri,Away,W,2,1,Fulham,1,13,4,30.8,0.08,0.25,11.8,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Match Report
,,,,,14-3-12,45,47,,45,404,149,36.9,0.09,0.26,16.9,13,7,8,48.0,41.8,0.10,-3.0,-3.8,
