Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-13,14:00 (18:30),Matchweek 1,Sun,Away,W,3,0,West Brom,0,7,1,14.3,0.00,0.00,17.1,1,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
2020-09-20,19:00 (23:30),Matchweek 2,Sun,Home,W,4,2,Burnley,2,17,5,29.4,0.12,0.40,16.9,1,0,0,1.9,1.9,0.11,+0.1,+0.1,Match Report
2020-09-27,16:30 (21:00),Matchweek 3,Sun,Away,W,5,2,Manchester City,2,16,5,31.3,0.13,0.40,18.8,1,0,0,0.9,0.9,0.06,+1.1,+1.1,Match Report
2020-10-04,12:00 (16:30),Matchweek 4,Sun,Home,L,0,3,West Ham,3,13,6,46.2,0.23,0.50,13.6,0,0,0,1.6,1.6,0.13,+1.4,+1.4,Match Report
2020-10-18,19:15 (23:45),Matchweek 5,Sun,Home,L,0,1,Aston Villa,1,10,4,40.0,0.10,0.25,17.7,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report
2020-10-25,19:15 (00:45),Matchweek 6,Sun,Away,W,1,0,Arsenal,0,12,4,33.3,0.00,0.00,13.2,1,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
2020-11-02,20:00 (01:30),Matchweek 7,Mon,Away,W,4,1,Leeds United,1,11,5,45.5,0.09,0.20,17.9,0,0,0,1.0,1.0,0.09,0.0,0.0,Match Report
2020-11-08,14:00 (19:30),Matchweek 8,Sun,Home,W,1,0,Wolves,0,7,2,28.6,0.00,0.00,20.3,1,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
2020-11-22,19:15 (00:45),Matchweek 9,Sun,Away,L,0,3,Liverpool,2,24,12,50.0,0.08,0.17,11.9,0,0,0,3.7,3.7,0.17,-1.7,-1.7,Match Report
2020-11-30,17:30 (23:00),Matchweek 10,Mon,Home,L,1,2,Fulham,2,9,4,44.4,0.11,0.25,20.4,1,1,1,1.8,1.1,0.12,+0.2,-0.1,Match Report
2020-12-06,14:15 (19:45),Matchweek 11,Sun,Away,W,2,1,Sheffield Utd,1,4,1,25.0,0.25,1.00,13.3,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Match Report
2020-12-13,19:15 (00:45),Matchweek 12,Sun,Home,W,3,0,Brighton,0,12,4,33.3,0.00,0.00,18.8,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Match Report
2020-12-16,18:00 (23:30),Matchweek 13,Wed,Home,L,0,2,Everton,2,11,6,54.5,0.18,0.33,11.7,0,0,0,1.2,1.2,0.13,+0.8,+0.8,Match Report
2020-12-20,14:15 (19:45),Matchweek 14,Sun,Away,W,2,0,Tottenham,0,9,3,33.3,0.00,0.00,15.0,2,0,0,1.1,1.1,0.12,-1.1,-1.1,Match Report
2020-12-26,12:30 (18:00),Matchweek 15,Sat,Home,D,2,2,Manchester Utd,2,9,4,44.4,0.22,0.50,12.2,0,0,0,2.2,2.2,0.25,-0.2,-0.2,Match Report
2020-12-28,15:00 (20:30),Matchweek 16,Mon,Away,D,1,1,Crystal Palace,1,4,1,25.0,0.25,1.00,9.9,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Match Report
2021-01-03,14:15 (19:45),Matchweek 17,Sun,Away,W,2,1,Newcastle Utd,1,8,2,25.0,0.13,0.50,14.3,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Match Report
2021-01-16,20:00 (01:30),Matchweek 19,Sat,Home,W,2,0,Southampton,0,9,3,33.3,0.00,0.00,15.4,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report
2021-01-19,20:15 (01:45),Matchweek 18,Tue,Home,W,2,0,Chelsea,0,9,5,55.6,0.00,0.00,11.8,1,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report
