Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,17:30 (22:00),Matchweek 1,Sat,Home,W,4,3,Leeds United,3,6,3,50.0,0.50,1.00,17.5,1,0,0,0.6,0.6,0.09,+2.4,+2.4,Match Report
2020-09-20,16:30 (21:00),Matchweek 2,Sun,Away,W,2,0,Chelsea,0,4,2,50.0,0.00,0.00,21.8,0,0,1,1.0,0.3,0.06,-1.0,-0.3,Match Report
2020-09-28,20:00 (00:30),Matchweek 3,Mon,Home,W,3,1,Arsenal,1,4,3,75.0,0.25,0.33,15.3,0,0,0,1.2,1.2,0.30,-0.2,-0.2,Match Report
2020-10-04,19:15 (23:45),Matchweek 4,Sun,Away,L,2,7,Aston Villa,7,18,11,61.1,0.39,0.64,16.4,0,0,0,3.9,3.9,0.22,+3.1,+3.1,Match Report
2020-10-17,12:30 (17:00),Matchweek 5,Sat,Away,D,2,2,Everton,2,11,5,45.5,0.18,0.40,15.5,0,0,0,1.3,1.3,0.12,+0.7,+0.7,Match Report
2020-10-24,20:00 (00:30),Matchweek 6,Sat,Home,W,2,1,Sheffield Utd,1,12,1,8.3,0.00,0.00,18.5,0,1,1,1.5,0.8,0.06,-0.5,-0.8,Match Report
2020-10-31,17:30 (23:00),Matchweek 7,Sat,Home,W,2,1,West Ham,1,4,3,75.0,0.25,0.33,13.1,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Match Report
2020-11-08,16:30 (22:00),Matchweek 8,Sun,Away,D,1,1,Manchester City,1,6,2,33.3,0.17,0.50,19.5,0,0,1,1.6,0.8,0.14,-0.6,+0.2,Match Report
2020-11-22,19:15 (00:45),Matchweek 9,Sun,Home,W,3,0,Leicester City,0,11,4,36.4,0.00,0.00,15.5,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Match Report
2020-11-28,12:30 (18:00),Matchweek 10,Sat,Away,D,1,1,Brighton,1,9,2,22.2,0.00,0.00,20.5,1,1,2,2.1,0.5,0.06,-1.1,-0.5,Match Report
2020-12-06,19:15 (00:45),Matchweek 11,Sun,Home,W,4,0,Wolves,0,9,3,33.3,0.00,0.00,18.3,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
2020-12-13,16:30 (22:00),Matchweek 12,Sun,Away,D,1,1,Fulham,1,10,5,50.0,0.10,0.20,16.6,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Match Report
2020-12-16,20:00 (01:30),Matchweek 13,Wed,Home,W,2,1,Tottenham,1,8,3,37.5,0.13,0.33,20.2,1,0,0,1.3,1.3,0.17,-0.3,-0.3,Match Report
2020-12-19,12:30 (18:00),Matchweek 14,Sat,Away,W,7,0,Crystal Palace,0,5,3,60.0,0.00,0.00,21.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
2020-12-27,16:30 (22:00),Matchweek 15,Sun,Home,D,1,1,West Brom,1,5,3,60.0,0.20,0.33,16.5,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Match Report
2020-12-30,20:00 (01:30),Matchweek 16,Wed,Away,D,0,0,Newcastle Utd,0,8,2,25.0,0.00,0.00,16.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
