Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,20:00 (00:30),Matchweek 1,Sat,Away,W,2,0,West Ham,0,15,3,20.0,0.00,0.00,15.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report
2020-09-20,14:00 (18:30),Matchweek 2,Sun,Home,L,0,3,Brighton,3,12,5,41.7,0.17,0.40,21.0,0,1,1,1.6,0.8,0.07,+1.4,+1.2,Match Report
2020-09-27,14:00 (18:30),Matchweek 3,Sun,Away,D,1,1,Tottenham,1,23,11,47.8,0.04,0.09,14.1,2,0,0,2.3,2.3,0.10,-1.3,-1.3,Match Report
2020-10-03,20:00 (00:30),Matchweek 4,Sat,Home,W,3,1,Burnley,1,10,3,30.0,0.10,0.33,13.0,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report
2020-10-17,20:00 (00:30),Matchweek 5,Sat,Home,L,1,4,Manchester Utd,4,27,11,40.7,0.15,0.36,19.5,0,0,1,2.7,2.0,0.07,+1.3,+2.0,Match Report
2020-10-25,16:30 (22:00),Matchweek 6,Sun,Away,D,1,1,Wolves,1,16,4,25.0,0.06,0.25,22.1,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Match Report
2020-11-01,14:00 (19:30),Matchweek 7,Sun,Home,W,2,1,Everton,1,15,4,26.7,0.07,0.25,18.0,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Match Report
2020-11-06,20:00 (01:30),Matchweek 8,Fri,Away,L,0,2,Southampton,2,15,7,46.7,0.13,0.29,17.3,0,0,0,0.9,0.9,0.06,+1.1,+1.1,Match Report
2020-11-21,12:30 (18:00),Matchweek 9,Sat,Home,L,0,2,Chelsea,1,14,3,21.4,0.07,0.33,18.0,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
2020-11-27,20:00 (01:30),Matchweek 10,Fri,Away,W,2,0,Crystal Palace,0,12,3,25.0,0.00,0.00,15.3,1,0,0,1.0,1.0,0.08,-1.0,-1.0,Match Report
2020-12-12,15:00 (20:30),Matchweek 12,Sat,Home,W,2,1,West Brom,1,13,3,23.1,0.08,0.33,22.5,1,0,0,0.6,0.6,0.05,+0.4,+0.4,Match Report
2020-12-16,18:00 (23:30),Matchweek 13,Wed,Away,L,2,5,Leeds United,5,25,9,36.0,0.20,0.56,15.7,0,0,0,2.8,2.8,0.11,+2.2,+2.2,Match Report
2020-12-19,20:00 (01:30),Matchweek 14,Sat,Home,D,1,1,Fulham,0,13,3,23.1,0.00,0.00,16.4,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report
2020-12-26,20:00 (01:30),Matchweek 15,Sat,Away,L,0,2,Manchester City,2,11,6,54.5,0.18,0.33,12.3,0,0,0,1.8,1.8,0.17,+0.2,+0.2,Match Report
2020-12-30,20:00 (01:30),Matchweek 16,Wed,Home,D,0,0,Liverpool,0,11,4,36.4,0.00,0.00,16.7,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Match Report
2021-01-03,14:15 (19:45),Matchweek 17,Sun,Home,L,1,2,Leicester City,2,9,3,33.3,0.22,0.67,18.8,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Match Report
2021-01-12,18:00 (23:30),Matchweek 18,Tue,Away,L,0,1,Sheffield Utd,1,16,3,18.8,0.00,0.00,16.4,0,1,1,1.8,1.1,0.07,-0.8,-1.1,Match Report
2021-01-18,20:00 (01:30),Matchweek 19,Mon,Away,L,0,3,Arsenal,3,20,6,30.0,0.15,0.50,15.8,1,0,0,2.8,2.8,0.14,+0.2,+0.2,Match Report
2021-01-23,20:00 (01:30),Matchweek 11,Sat,Away,L,0,2,Aston Villa,2,14,5,35.7,0.14,0.40,15.6,0,0,0,1.8,1.8,0.13,+0.2,+0.2,Match Report
2021-01-26,18:00 (23:30),Matchweek 20,Tue,Home,L,1,2,Leeds United,2,9,2,22.2,0.22,1.00,13.7,0,0,0,0.9,0.9,0.11,+1.1,+1.1,Match Report
2021-01-30,12:30 (18:00),Matchweek 21,Sat,Away,W,2,0,Everton,0,11,3,27.3,0.00,0.00,16.6,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Match Report
2021-02-02,20:15 (01:45),Matchweek 22,Tue,Home,L,1,2,Crystal Palace,2,6,3,50.0,0.33,0.67,17.7,0,0,0,0.9,0.9,0.15,+1.1,+1.1,Match Report
2021-02-06,15:00 (20:30),Matchweek 23,Sat,Home,W,3,2,Southampton,2,14,5,35.7,0.14,0.40,14.7,1,0,0,1.4,1.4,0.10,+0.6,+0.6,Match Report
2021-02-15,20:00 (01:30),Matchweek 24,Mon,Away,L,0,2,Chelsea,2,18,5,27.8,0.11,0.40,13.2,0,0,0,2.0,2.0,0.11,0.0,0.0,Match Report
2021-02-21,19:00 (00:30),Matchweek 25,Sun,Away,L,1,3,Manchester Utd,3,14,6,42.9,0.14,0.33,18.3,0,1,1,1.8,1.0,0.07,+1.2,+1.0,Match Report
2021-02-27,20:00 (01:30),Matchweek 26,Sat,Home,D,1,1,Wolves,1,14,4,28.6,0.07,0.25,18.1,0,0,0,1.0,1.0,0.07,0.0,0.0,Match Report
