Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-14,18:00 (22:30),Matchweek 1,Mon,Home,L,0,2,Wolves,2,11,4,36.4,0.18,0.50,16.3,0,0,0,1.1,1.1,0.12,+0.9,+0.9,Match Report
2020-09-21,18:00 (22:30),Matchweek 2,Mon,Away,L,0,1,Aston Villa,1,18,2,11.1,0.06,0.50,15.6,0,0,0,1.0,1.0,0.06,0.0,0.0,Match Report
2020-09-27,12:00 (16:30),Matchweek 3,Sun,Home,L,0,1,Leeds United,1,18,9,50.0,0.06,0.11,18.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Match Report
2020-10-04,14:00 (18:30),Matchweek 4,Sun,Away,L,1,2,Arsenal,2,6,5,83.3,0.33,0.40,16.7,0,0,0,0.4,0.4,0.06,+1.6,+1.6,Match Report
2020-10-18,12:00 (16:30),Matchweek 5,Sun,Home,D,1,1,Fulham,1,14,6,42.9,0.07,0.17,16.6,0,0,1,1.7,1.0,0.07,-0.7,0.0,Match Report
2020-10-24,20:00 (00:30),Matchweek 6,Sat,Away,L,1,2,Liverpool,2,17,5,29.4,0.12,0.40,18.2,1,0,0,2.5,2.5,0.16,-0.5,-0.5,Match Report
2020-10-31,12:30 (18:00),Matchweek 7,Sat,Home,L,0,1,Manchester City,1,16,8,50.0,0.06,0.13,18.3,2,0,0,1.5,1.5,0.10,-0.5,-0.5,Match Report
2020-11-07,17:30 (23:00),Matchweek 8,Sat,Away,L,1,4,Chelsea,4,20,9,45.0,0.20,0.44,16.3,1,0,0,2.7,2.7,0.14,+1.3,+1.3,Match Report
2020-11-22,14:00 (19:30),Matchweek 9,Sun,Home,L,0,1,West Ham,1,15,3,20.0,0.07,0.33,12.0,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Match Report
2020-11-28,20:00 (01:30),Matchweek 10,Sat,Away,L,0,1,West Brom,1,17,6,35.3,0.06,0.17,16.1,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report
2020-12-06,14:15 (19:45),Matchweek 11,Sun,Home,L,1,2,Leicester City,2,13,4,30.8,0.15,0.50,19.0,1,0,0,1.5,1.5,0.12,+0.5,+0.5,Match Report
2020-12-13,12:00 (17:30),Matchweek 12,Sun,Away,L,0,3,Southampton,3,16,6,37.5,0.19,0.50,16.2,1,0,0,1.4,1.4,0.09,+1.6,+1.6,Match Report
2020-12-17,20:00 (01:30),Matchweek 13,Thu,Home,L,2,3,Manchester Utd,3,15,8,53.3,0.20,0.38,17.8,1,0,0,2.0,2.0,0.13,+1.0,+1.0,Match Report
2020-12-20,12:00 (17:30),Matchweek 14,Sun,Away,D,1,1,Brighton,1,21,4,19.0,0.05,0.25,13.5,0,0,0,2.6,2.6,0.12,-1.6,-1.6,Match Report
2020-12-26,20:00 (01:30),Matchweek 15,Sat,Home,L,0,1,Everton,1,7,3,42.9,0.14,0.33,20.1,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Away,L,0,1,Burnley,1,5,3,60.0,0.20,0.33,10.6,1,0,0,0.8,0.8,0.16,+0.2,+0.2,Match Report
2021-01-02,15:00 (20:30),Matchweek 17,Sat,Away,L,0,2,Crystal Palace,2,9,4,44.4,0.22,0.50,17.1,0,0,0,0.6,0.6,0.07,+1.4,+1.4,Match Report
2021-01-12,18:00 (23:30),Matchweek 18,Tue,Home,W,1,0,Newcastle Utd,0,7,3,42.9,0.00,0.00,22.0,2,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
2021-01-17,14:00 (19:30),Matchweek 19,Sun,Home,L,1,3,Tottenham,3,14,5,35.7,0.21,0.60,20.9,0,0,0,1.2,1.2,0.09,+1.8,+1.8,Match Report
2021-01-27,20:15 (01:45),Matchweek 20,Wed,Away,W,2,1,Manchester Utd,1,16,4,25.0,0.06,0.25,18.2,2,0,0,1.7,1.7,0.10,-0.7,-0.7,Match Report
2021-01-30,15:00 (20:30),Matchweek 21,Sat,Away,L,0,1,Manchester City,1,10,5,50.0,0.10,0.20,16.2,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Match Report
2021-02-02,18:00 (23:30),Matchweek 22,Tue,Home,W,2,1,West Brom,1,9,4,44.4,0.11,0.25,13.3,0,0,0,1.5,1.5,0.22,-0.5,-0.5,Match Report
2021-02-07,19:15 (00:45),Matchweek 23,Sun,Home,L,1,2,Chelsea,2,8,1,12.5,0.13,1.00,19.4,0,1,1,1.4,0.7,0.08,+0.6,+0.3,Match Report
2021-02-15,18:00 (23:30),Matchweek 24,Mon,Away,L,0,3,West Ham,3,12,8,66.7,0.17,0.25,18.0,2,1,1,1.9,1.2,0.10,+1.1,+0.8,Match Report
2021-02-20,20:00 (01:30),Matchweek 25,Sat,Away,L,0,1,Fulham,1,16,6,37.5,0.06,0.17,19.2,0,0,0,1.0,1.0,0.07,0.0,0.0,Match Report
