Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,15:00 (19:30),Matchweek 1,Sat,Away,L,0,1,Crystal Palace,1,6,3,50.0,0.17,0.33,10.1,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Match Report
2020-09-20,12:00 (16:30),Matchweek 2,Sun,Home,L,2,5,Tottenham,5,9,6,66.7,0.56,0.83,17.5,0,0,0,2.5,2.5,0.28,+2.5,+2.5,Match Report
2020-09-26,20:00 (00:30),Matchweek 3,Sat,Away,W,1,0,Burnley,0,10,2,20.0,0.00,0.00,17.6,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
2020-10-04,12:00 (16:30),Matchweek 4,Sun,Home,W,2,0,West Brom,0,5,3,60.0,0.00,0.00,21.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report
2020-10-17,15:00 (19:30),Matchweek 5,Sat,Away,D,3,3,Chelsea,3,12,5,41.7,0.25,0.60,10.9,0,0,0,2.0,2.0,0.17,+1.0,+1.0,Match Report
2020-10-25,14:00 (19:30),Matchweek 6,Sun,Home,W,2,0,Everton,0,6,2,33.3,0.00,0.00,19.5,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
2020-11-01,12:00 (17:30),Matchweek 7,Sun,Away,W,4,3,Aston Villa,3,18,9,50.0,0.11,0.22,15.5,1,1,1,1.8,1.1,0.06,+1.2,+0.9,Match Report
2020-11-06,20:00 (01:30),Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,0,4,2,50.0,0.00,0.00,13.1,1,0,0,0.5,0.5,0.14,-0.5,-0.5,Match Report
2020-11-23,20:00 (01:30),Matchweek 9,Mon,Away,D,1,1,Wolves,1,20,9,45.0,0.05,0.11,15.5,1,0,0,1.9,1.9,0.10,-0.9,-0.9,Match Report
2020-11-29,14:00 (19:30),Matchweek 10,Sun,Home,L,2,3,Manchester Utd,3,15,6,40.0,0.20,0.50,16.0,0,0,0,2.3,2.3,0.16,+0.7,+0.7,Match Report
2020-12-07,20:00 (01:30),Matchweek 11,Mon,Away,W,2,1,Brighton,1,11,3,27.3,0.00,0.00,14.5,0,1,1,2.1,1.4,0.12,-1.1,-1.4,Match Report
2020-12-13,12:00 (17:30),Matchweek 12,Sun,Home,W,3,0,Sheffield Utd,0,3,0,0.0,0.00,,10.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Match Report
2020-12-16,18:00 (23:30),Matchweek 13,Wed,Away,D,1,1,Arsenal,1,9,4,44.4,0.11,0.25,21.1,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Match Report
2020-12-19,15:00 (20:30),Matchweek 14,Sat,Home,L,0,1,Manchester City,1,11,5,45.5,0.09,0.20,19.1,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Match Report
