Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-13,16:30 (21:00),Matchweek 1,Sun,Home,L,0,1,Everton,1,15,5,33.3,0.07,0.20,17.9,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Match Report
2020-09-20,12:00 (16:30),Matchweek 2,Sun,Away,W,5,2,Southampton,2,13,5,38.5,0.08,0.20,19.0,1,1,1,1.5,0.8,0.06,+0.5,+0.2,Match Report
2020-09-27,14:00 (18:30),Matchweek 3,Sun,Home,D,1,1,Newcastle Utd,1,5,0,0.0,0.00,,19.1,0,1,1,1.0,0.2,0.04,0.0,-0.2,Match Report
2020-10-04,16:30 (21:00),Matchweek 4,Sun,Away,W,6,1,Manchester Utd,1,4,1,25.0,0.00,0.00,22.7,0,1,1,0.9,0.2,0.04,+0.1,-0.2,Match Report
2020-10-18,16:30 (21:00),Matchweek 5,Sun,Home,D,3,3,West Ham,2,13,4,30.8,0.15,0.50,14.5,1,0,0,2.1,2.1,0.16,-0.1,-0.1,Match Report
2020-10-26,20:00 (01:30),Matchweek 6,Mon,Away,W,1,0,Burnley,0,12,3,25.0,0.00,0.00,20.4,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
2020-11-01,19:15 (00:45),Matchweek 7,Sun,Home,W,2,1,Brighton,1,6,2,33.3,0.17,0.50,16.1,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Match Report
2020-11-08,12:00 (17:30),Matchweek 8,Sun,Away,W,1,0,West Brom,0,12,2,16.7,0.00,0.00,16.4,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
2020-11-21,17:30 (23:00),Matchweek 9,Sat,Home,W,2,0,Manchester City,0,21,5,23.8,0.00,0.00,15.6,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Match Report
2020-11-29,16:30 (22:00),Matchweek 10,Sun,Away,D,0,0,Chelsea,0,13,3,23.1,0.00,0.00,16.8,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Match Report
2020-12-06,16:30 (22:00),Matchweek 11,Sun,Home,W,2,0,Arsenal,0,12,2,16.7,0.00,0.00,15.1,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
2020-12-13,14:15 (19:45),Matchweek 12,Sun,Away,D,1,1,Crystal Palace,1,16,5,31.3,0.06,0.20,15.2,2,0,0,1.2,1.2,0.07,-0.2,-0.2,Match Report
2020-12-16,20:00 (01:30),Matchweek 13,Wed,Away,L,1,2,Liverpool,2,17,11,64.7,0.12,0.18,15.5,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Match Report
2020-12-20,14:15 (19:45),Matchweek 14,Sun,Home,L,0,2,Leicester City,1,16,3,18.8,0.00,0.00,18.2,0,1,1,1.5,0.8,0.05,-0.5,-0.8,Match Report
2020-12-27,19:15 (00:45),Matchweek 15,Sun,Away,D,1,1,Wolves,1,11,6,54.5,0.09,0.17,16.3,1,0,0,1.0,1.0,0.09,0.0,0.0,Match Report
2021-01-02,12:30 (18:00),Matchweek 17,Sat,Home,W,3,0,Leeds United,0,18,5,27.8,0.00,0.00,17.7,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Match Report
2021-01-13,20:15 (01:45),Matchweek 16,Wed,Home,D,1,1,Fulham,1,15,4,26.7,0.07,0.25,16.6,1,0,0,0.9,0.9,0.06,+0.1,+0.1,Match Report
