Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-19,17:30 (22:00),Matchweek 2,Sat,Home,L,1,3,Crystal Palace,3,13,4,30.8,0.15,0.50,18.4,0,1,1,1.6,0.9,0.07,+1.4,+1.1,Match Report
2020-09-26,12:30 (17:00),Matchweek 3,Sat,Away,W,3,2,Brighton,2,17,3,17.6,0.06,0.33,16.0,0,1,1,2.4,1.6,0.10,-0.4,-0.6,Match Report
2020-10-04,16:30 (21:00),Matchweek 4,Sun,Home,L,1,6,Tottenham,6,21,7,33.3,0.24,0.71,15.8,1,1,1,3.8,3.1,0.15,+2.2,+1.9,Match Report
2020-10-17,20:00 (00:30),Matchweek 5,Sat,Away,W,4,1,Newcastle Utd,0,7,4,57.1,0.00,0.00,19.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report
2020-10-24,17:30 (22:00),Matchweek 6,Sat,Home,D,0,0,Chelsea,0,6,1,16.7,0.00,0.00,19.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Match Report
2020-11-01,16:30 (22:00),Matchweek 7,Sun,Home,L,0,1,Arsenal,1,6,1,16.7,0.00,0.00,22.7,0,1,1,1.1,0.3,0.05,-0.1,-0.3,Match Report
2020-11-07,12:30 (18:00),Matchweek 8,Sat,Away,W,3,1,Everton,1,7,1,14.3,0.14,1.00,15.0,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Match Report
2020-11-21,20:00 (01:30),Matchweek 9,Sat,Home,W,1,0,West Brom,0,7,2,28.6,0.00,0.00,15.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
2020-11-29,14:00 (19:30),Matchweek 10,Sun,Away,W,3,2,Southampton,2,10,5,50.0,0.20,0.40,18.9,1,0,0,0.4,0.4,0.04,+1.6,+1.6,Match Report
2020-12-05,17:30 (23:00),Matchweek 11,Sat,Away,W,3,1,West Ham,1,19,6,31.6,0.05,0.17,15.7,1,0,0,2.2,2.2,0.12,-1.2,-1.2,Match Report
2020-12-12,17:30 (23:00),Matchweek 12,Sat,Home,D,0,0,Manchester City,0,9,2,22.2,0.00,0.00,17.4,1,0,0,1.2,1.2,0.14,-1.2,-1.2,Match Report
2020-12-17,20:00 (01:30),Matchweek 13,Thu,Away,W,3,2,Sheffield Utd,2,12,6,50.0,0.17,0.33,14.8,1,0,0,1.6,1.6,0.14,+0.4,+0.4,Match Report
2020-12-20,16:30 (22:00),Matchweek 14,Sun,Home,W,6,2,Leeds United,2,18,5,27.8,0.11,0.40,14.0,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Match Report
2020-12-26,12:30 (18:00),Matchweek 15,Sat,Away,D,2,2,Leicester City,1,10,1,10.0,0.10,1.00,16.6,1,0,0,1.2,1.2,0.12,-0.2,-0.2,Match Report
2020-12-29,20:00 (01:30),Matchweek 16,Tue,Home,W,1,0,Wolves,0,9,5,55.6,0.00,0.00,17.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report
2021-01-01,20:00 (01:30),Matchweek 17,Fri,Home,W,2,1,Aston Villa,1,15,5,33.3,0.07,0.20,13.8,1,0,0,1.6,1.6,0.10,-0.6,-0.6,Match Report
2021-01-12,20:15 (01:45),Matchweek 1,Tue,Away,W,1,0,Burnley,0,11,0,0.0,0.00,,19.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
2021-01-17,16:30 (22:00),Matchweek 19,Sun,Away,D,0,0,Liverpool,0,17,3,17.6,0.00,0.00,17.1,0,0,0,1.7,1.7,0.10,-1.7,-1.7,Match Report
2021-01-20,20:15 (01:45),Matchweek 18,Wed,Away,W,2,1,Fulham,1,12,5,41.7,0.08,0.20,17.5,0,0,0,0.9,0.9,0.07,+0.1,+0.1,Match Report
2021-01-27,20:15 (01:45),Matchweek 20,Wed,Home,L,1,2,Sheffield Utd,2,5,3,60.0,0.40,0.67,13.7,0,0,0,1.0,1.0,0.19,+1.0,+1.0,Match Report
2021-01-30,17:30 (23:00),Matchweek 21,Sat,Away,D,0,0,Arsenal,0,17,3,17.6,0.00,0.00,19.9,3,0,0,1.1,1.1,0.07,-1.1,-1.1,Match Report
2021-02-02,20:15 (01:45),Matchweek 22,Tue,Home,W,9,0,Southampton,0,3,1,33.3,0.00,0.00,20.4,1,0,0,0.5,0.5,0.18,-0.5,-0.5,Match Report
2021-02-06,20:00 (01:30),Matchweek 23,Sat,Home,D,3,3,Everton,3,6,3,50.0,0.50,1.00,13.9,0,0,0,1.1,1.1,0.19,+1.9,+1.9,Match Report
2021-02-14,14:00 (19:30),Matchweek 24,Sun,Away,D,1,1,West Brom,1,7,3,42.9,0.14,0.33,13.5,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Match Report
2021-02-21,19:00 (00:30),Matchweek 25,Sun,Home,W,3,1,Newcastle Utd,1,10,6,60.0,0.10,0.17,22.9,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Match Report
2021-02-28,16:30 (22:00),Matchweek 26,Sun,Away,D,0,0,Chelsea,0,18,6,33.3,0.00,0.00,20.3,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Match Report
2021-03-03,20:15 (01:45),Matchweek 29,Wed,Away,D,0,0,Crystal Palace,0,8,2,25.0,0.00,0.00,16.7,1,0,0,0.8,0.8,0.10,-0.8,-0.8,Match Report
2021-03-07,16:30 (22:00),Matchweek 27,Sun,Away,W,2,0,Manchester City,0,23,6,26.1,0.00,0.00,18.1,1,0,0,1.5,1.5,0.06,-1.5,-1.5,Match Report
2021-03-14,19:15 (00:45),Matchweek 28,Sun,Home,W,1,0,West Ham,0,7,0,0.0,0.00,,13.0,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
,,,,,4-9-16,56,32,,30,330,99,30.0,0.08,0.26,17.1,13,4,4,34.1,31.1,0.10,-4.1,-5.1,
