Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-13,14:00 (18:30),Matchweek 1,Sun,Home,L,0,3,Leicester City,3,11,5,45.5,0.09,0.20,19.2,1,2,2,2.2,0.7,0.06,+0.8,+0.3,Match Report
2020-09-19,12:30 (17:00),Matchweek 2,Sat,Away,L,2,5,Everton,5,16,7,43.8,0.31,0.71,11.3,1,0,0,3.4,3.4,0.22,+1.6,+1.6,Match Report
2020-09-26,17:30 (22:00),Matchweek 3,Sat,Home,D,3,3,Chelsea,3,24,11,45.8,0.13,0.27,19.5,2,0,0,2.2,2.2,0.09,+0.8,+0.8,Match Report
2020-10-04,12:00 (16:30),Matchweek 4,Sun,Away,L,0,2,Southampton,2,13,7,53.8,0.15,0.29,17.0,0,0,0,1.2,1.2,0.09,+0.8,+0.8,Match Report
2020-10-19,17:30 (22:00),Matchweek 5,Mon,Home,D,0,0,Burnley,0,9,4,44.4,0.00,0.00,14.1,1,0,0,1.1,1.1,0.13,-1.1,-1.1,Match Report
2020-10-26,17:30 (23:00),Matchweek 6,Mon,Away,D,1,1,Brighton,0,5,3,60.0,0.00,0.00,16.7,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Match Report
2020-11-02,17:30 (23:00),Matchweek 7,Mon,Away,L,0,2,Fulham,2,13,4,30.8,0.15,0.50,17.8,0,0,0,1.5,1.5,0.12,+0.5,+0.5,Match Report
2020-11-08,12:00 (17:30),Matchweek 8,Sun,Home,L,0,1,Tottenham,1,19,5,26.3,0.05,0.20,16.6,1,0,0,1.6,1.6,0.09,-0.6,-0.6,Match Report
2020-11-21,20:00 (01:30),Matchweek 9,Sat,Away,L,0,1,Manchester Utd,1,16,6,37.5,0.00,0.00,18.4,1,1,1,2.5,1.8,0.11,-1.5,-1.8,Match Report
2020-11-28,20:00 (01:30),Matchweek 10,Sat,Home,W,1,0,Sheffield Utd,0,21,5,23.8,0.00,0.00,14.1,0,0,0,2.7,2.7,0.14,-2.7,-2.7,Match Report
2020-12-06,12:00 (17:30),Matchweek 11,Sun,Home,L,1,5,Crystal Palace,4,18,7,38.9,0.22,0.57,15.4,0,0,0,1.8,1.8,0.10,+2.2,+2.2,Match Report
2020-12-12,15:00 (20:30),Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,2,12,6,50.0,0.17,0.33,15.9,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Match Report
2020-12-15,20:00 (01:30),Matchweek 13,Tue,Away,D,1,1,Manchester City,1,26,7,26.9,0.04,0.14,16.6,2,0,0,1.9,1.9,0.07,-0.9,-0.9,Match Report
2020-12-20,19:15 (00:45),Matchweek 14,Sun,Home,L,0,3,Aston Villa,3,19,9,47.4,0.11,0.22,17.8,1,1,1,2.3,1.5,0.08,+0.7,+0.5,Match Report
2020-12-27,16:30 (22:00),Matchweek 15,Sun,Away,D,1,1,Liverpool,1,17,2,11.8,0.06,0.50,17.8,2,0,0,1.6,1.6,0.10,-0.6,-0.6,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Home,L,0,5,Leeds United,4,14,6,42.9,0.29,0.67,18.2,0,0,0,0.9,0.9,0.06,+3.1,+3.1,Match Report
