Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,20:00 (00:30),Matchweek 1,Sat,Home,L,0,2,Newcastle Utd,2,16,3,18.8,0.13,0.67,16.2,1,0,0,1.5,1.5,0.09,+0.5,+0.5,Match Report
2020-09-19,20:00 (00:30),Matchweek 2,Sat,Away,L,1,2,Arsenal,2,6,3,50.0,0.33,0.67,15.3,0,0,0,1.4,1.4,0.23,+0.6,+0.6,Match Report
2020-09-27,19:00 (23:30),Matchweek 3,Sun,Home,W,4,0,Wolves,0,11,2,18.2,0.00,0.00,19.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
2020-10-04,12:00 (16:30),Matchweek 4,Sun,Away,W,3,0,Leicester City,0,4,0,0.0,0.00,,17.5,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Match Report
2020-10-18,16:30 (21:00),Matchweek 5,Sun,Away,D,3,3,Tottenham,3,11,6,54.5,0.27,0.50,19.1,1,0,0,1.2,1.2,0.11,+1.8,+1.8,Match Report
2020-10-24,12:30 (17:00),Matchweek 6,Sat,Home,D,1,1,Manchester City,1,14,7,50.0,0.07,0.14,20.3,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
2020-10-31,17:30 (23:00),Matchweek 7,Sat,Away,L,1,2,Liverpool,2,8,2,25.0,0.13,0.50,18.6,1,1,1,1.8,1.1,0.13,+0.2,-0.1,Match Report
2020-11-07,20:00 (01:30),Matchweek 8,Sat,Home,W,1,0,Fulham,0,12,2,16.7,0.00,0.00,19.7,1,0,1,1.6,0.9,0.07,-1.6,-0.9,Match Report
2020-11-22,14:00 (19:30),Matchweek 9,Sun,Away,W,1,0,Sheffield Utd,0,9,5,55.6,0.00,0.00,16.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report
2020-11-30,20:00 (01:30),Matchweek 10,Mon,Home,W,2,1,Aston Villa,1,15,6,40.0,0.07,0.17,17.2,1,0,1,2.6,1.8,0.12,-1.6,-0.8,Match Report
2020-12-05,17:30 (23:00),Matchweek 11,Sat,Home,L,1,3,Manchester Utd,3,15,6,40.0,0.20,0.50,18.6,0,0,0,1.9,1.9,0.13,+1.1,+1.1,Match Report
2020-12-11,20:00 (01:30),Matchweek 12,Fri,Away,W,2,1,Leeds United,1,12,6,50.0,0.00,0.00,15.9,0,1,1,1.8,1.1,0.09,-0.8,-1.1,Match Report
2020-12-16,20:00 (01:30),Matchweek 13,Wed,Home,D,1,1,Crystal Palace,1,8,3,37.5,0.13,0.33,12.8,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Match Report
2020-12-21,20:00 (01:30),Matchweek 14,Mon,Away,L,0,3,Chelsea,3,11,7,63.6,0.27,0.43,13.1,0,0,0,2.1,2.1,0.20,+0.9,+0.9,Match Report
2020-12-27,14:15 (19:45),Matchweek 15,Sun,Home,D,2,2,Brighton,2,13,4,30.8,0.15,0.50,16.3,0,0,0,1.2,1.2,0.09,+0.8,+0.8,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Away,D,0,0,Southampton,0,8,3,37.5,0.00,0.00,19.6,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
2021-01-01,17:30 (23:00),Matchweek 17,Fri,Away,W,1,0,Everton,0,10,2,20.0,0.00,0.00,20.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Match Report
2021-01-16,15:00 (20:30),Matchweek 19,Sat,Home,W,1,0,Burnley,0,10,2,20.0,0.00,0.00,21.8,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
2021-01-19,18:00 (23:30),Matchweek 18,Tue,Home,W,2,1,West Brom,1,6,2,33.3,0.17,0.50,19.3,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Match Report
2021-01-26,18:00 (23:30),Matchweek 20,Tue,Away,W,3,2,Crystal Palace,2,6,3,50.0,0.33,0.67,20.1,0,0,0,0.5,0.5,0.08,+1.5,+1.5,Match Report
2021-01-31,16:30 (22:00),Matchweek 21,Sun,Home,L,1,3,Liverpool,3,14,5,35.7,0.21,0.60,15.2,0,0,0,1.8,1.8,0.13,+1.2,+1.2,Match Report
2021-02-03,20:15 (01:45),Matchweek 22,Wed,Away,W,3,1,Aston Villa,1,9,2,22.2,0.11,0.50,16.3,1,0,0,0.7,0.7,0.08,+0.3,+0.3,Match Report
2021-02-06,17:30 (23:00),Matchweek 23,Sat,Away,D,0,0,Fulham,0,20,2,10.0,0.00,0.00,15.7,2,0,0,1.4,1.4,0.07,-1.4,-1.4,Match Report
2021-02-15,18:00 (23:30),Matchweek 24,Mon,Home,W,3,0,Sheffield Utd,0,8,5,62.5,0.00,0.00,14.6,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report
2021-02-21,12:00 (17:30),Matchweek 25,Sun,Home,W,2,1,Tottenham,1,20,4,20.0,0.05,0.25,18.4,2,0,0,1.2,1.2,0.06,-0.2,-0.2,Match Report
2021-02-27,12:30 (18:00),Matchweek 26,Sat,Away,L,1,2,Manchester City,2,10,3,30.0,0.20,0.67,19.3,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Match Report
2021-03-08,20:00 (01:30),Matchweek 27,Mon,Home,W,2,0,Leeds United,0,17,2,11.8,0.00,0.00,17.4,0,0,0,1.7,1.7,0.10,-1.7,-1.7,Match Report
2021-03-14,19:15 (00:45),Matchweek 28,Sun,Away,L,0,1,Manchester Utd,0,15,4,26.7,0.00,0.00,17.0,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Match Report
2021-03-21,15:00 (20:30),Matchweek 29,Sun,Home,D,3,3,Arsenal,1,16,6,37.5,0.06,0.17,16.4,0,0,0,1.7,1.7,0.11,-0.7,-0.7,Match Report
,,,,,8-7-14,45,35,,32,334,107,32.0,0.09,0.28,17.4,13,2,4,33.8,30.7,0.09,-1.8,-0.7,
