Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-14,18:00 (22:30),Matchweek 1,Mon,Away,W,2,0,Sheffield Utd,0,9,1,11.1,0.00,0.00,12.0,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
2020-09-21,20:15 (00:45),Matchweek 2,Mon,Home,L,1,3,Manchester City,3,13,8,61.5,0.15,0.25,20.3,2,1,1,1.9,1.2,0.09,+1.1,+0.8,Match Report
2020-09-27,19:00 (23:30),Matchweek 3,Sun,Away,L,0,4,West Ham,3,15,7,46.7,0.20,0.43,12.3,0,0,0,1.6,1.6,0.11,+1.4,+1.4,Match Report
2020-10-04,14:00 (18:30),Matchweek 4,Sun,Home,W,1,0,Fulham,0,10,2,20.0,0.00,0.00,17.5,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
2020-10-19,20:00 (00:30),Matchweek 5,Mon,Away,W,1,0,Leeds United,0,13,2,15.4,0.00,0.00,12.0,0,0,0,1.6,1.6,0.12,-1.6,-1.6,Match Report
2020-10-25,16:30 (22:00),Matchweek 6,Sun,Home,D,1,1,Newcastle Utd,1,5,2,40.0,0.20,0.50,20.9,1,0,0,0.2,0.2,0.05,+0.8,+0.8,Match Report
2020-10-30,20:00 (01:30),Matchweek 7,Fri,Home,W,2,0,Crystal Palace,0,11,2,18.2,0.00,0.00,19.1,2,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
2020-11-08,14:00 (19:30),Matchweek 8,Sun,Away,L,0,1,Leicester City,1,8,1,12.5,0.00,0.00,22.0,0,1,2,1.9,0.4,0.05,-0.9,-0.4,Match Report
2020-11-23,20:00 (01:30),Matchweek 9,Mon,Home,D,1,1,Southampton,1,7,2,28.6,0.14,0.50,15.6,0,0,0,1.5,1.5,0.21,-0.5,-0.5,Match Report
2020-11-29,19:15 (00:45),Matchweek 10,Sun,Away,W,2,1,Arsenal,1,13,2,15.4,0.08,0.50,14.8,2,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
2020-12-06,19:15 (00:45),Matchweek 11,Sun,Away,L,0,4,Liverpool,3,11,6,54.5,0.27,0.50,16.6,1,0,0,1.2,1.2,0.11,+1.8,+1.8,Match Report
2020-12-12,12:30 (18:00),Matchweek 12,Sat,Home,L,0,1,Aston Villa,1,11,1,9.1,0.00,0.00,20.1,1,1,1,1.1,0.3,0.03,-0.1,-0.3,Match Report
2020-12-15,18:00 (23:30),Matchweek 13,Tue,Home,W,2,1,Chelsea,1,13,3,23.1,0.08,0.33,17.4,1,0,0,1.3,1.3,0.10,-0.3,-0.3,Match Report
2020-12-21,17:30 (23:00),Matchweek 14,Mon,Away,L,1,2,Burnley,2,10,4,40.0,0.20,0.50,14.3,1,0,0,1.8,1.8,0.18,+0.2,+0.2,Match Report
2020-12-27,19:15 (00:45),Matchweek 15,Sun,Home,D,1,1,Tottenham,1,7,3,42.9,0.14,0.33,14.9,1,0,0,0.4,0.4,0.06,+0.6,+0.6,Match Report
2020-12-29,20:00 (01:30),Matchweek 16,Tue,Away,L,0,1,Manchester Utd,1,11,3,27.3,0.09,0.33,15.9,0,0,0,1.3,1.3,0.13,-0.3,-0.3,Match Report
2021-01-02,17:30 (23:00),Matchweek 17,Sat,Away,D,3,3,Brighton,3,12,3,25.0,0.17,0.67,15.8,0,1,1,1.7,0.9,0.08,+1.3,+1.1,Match Report
2021-01-12,20:15 (01:45),Matchweek 18,Tue,Home,L,1,2,Everton,2,5,3,60.0,0.40,0.67,12.4,0,0,0,0.6,0.6,0.11,+1.4,+1.4,Match Report
2021-01-16,12:30 (18:00),Matchweek 19,Sat,Home,L,2,3,West Brom,3,10,3,30.0,0.10,0.33,18.7,0,2,2,2.3,0.7,0.08,+0.7,+0.3,Match Report
2021-01-27,18:00 (23:30),Matchweek 20,Wed,Away,D,0,0,Chelsea,0,15,5,33.3,0.00,0.00,16.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report
2021-01-30,15:00 (20:30),Matchweek 21,Sat,Away,L,0,1,Crystal Palace,1,11,2,18.2,0.09,0.50,20.5,2,0,0,0.8,0.8,0.07,+0.2,+0.2,Match Report
2021-02-02,18:00 (23:30),Matchweek 22,Tue,Home,W,2,1,Arsenal,1,9,3,33.3,0.11,0.33,18.5,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Match Report
2021-02-07,14:00 (19:30),Matchweek 23,Sun,Home,D,0,0,Leicester City,0,13,3,23.1,0.00,0.00,18.7,1,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report
2021-02-14,12:00 (17:30),Matchweek 24,Sun,Away,W,2,1,Southampton,1,7,3,42.9,0.14,0.33,16.7,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Match Report
2021-02-19,20:00 (01:30),Matchweek 25,Fri,Home,W,1,0,Leeds United,0,18,8,44.4,0.00,0.00,13.5,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Match Report
2021-02-27,20:00 (01:30),Matchweek 26,Sat,Away,D,1,1,Newcastle Utd,1,19,6,31.6,0.05,0.17,18.6,1,0,0,1.5,1.5,0.08,-0.5,-0.5,Match Report
2021-03-02,20:00 (01:30),Matchweek 29,Tue,Away,L,1,4,Manchester City,3,21,10,47.6,0.14,0.30,13.9,0,0,0,2.3,2.3,0.11,+0.7,+0.7,Match Report
2021-03-06,17:30 (23:00),Matchweek 27,Sat,Away,D,0,0,Aston Villa,0,9,1,11.1,0.00,0.00,16.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
2021-03-15,20:00 (01:30),Matchweek 28,Mon,Home,L,0,1,Liverpool,1,12,4,33.3,0.08,0.25,15.9,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report
,,,,,12-8-9,28,38,,35,328,103,31.4,0.09,0.28,16.4,17,6,7,33.9,28.6,0.09,+1.1,+0.4,
