,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,G-xG,xGa
0,2020-09-12,17:30 (22:00),Matchweek 1,Sat,Home,W,4,3,Leeds United,3.3,0.7,0.6
1,2020-09-20,16:30 (21:00),Matchweek 2,Sun,Away,W,2,0,Chelsea,2.6,-0.6,1.0
2,2020-09-28,20:00 (00:30),Matchweek 3,Mon,Home,W,3,1,Arsenal,3.2,-0.2,1.2
3,2020-10-04,19:15 (23:45),Matchweek 4,Sun,Away,L,2,7,Aston Villa,1.8,0.2,3.9
4,2020-10-17,12:30 (17:00),Matchweek 5,Sat,Away,D,2,2,Everton,2.2,-0.2,1.3
5,2020-10-24,20:00 (00:30),Matchweek 6,Sat,Home,W,2,1,Sheffield Utd,2.5,-0.5,1.5
6,2020-10-31,17:30 (23:00),Matchweek 7,Sat,Home,W,2,1,West Ham,1.8,0.2,0.5
7,2020-11-08,16:30 (22:00),Matchweek 8,Sun,Away,D,1,1,Manchester City,1.4,-0.4,1.6
8,2020-11-22,19:15 (00:45),Matchweek 9,Sun,Home,W,3,0,Leicester City,3.7,-1.7,1.3
9,2020-11-28,12:30 (18:00),Matchweek 10,Sat,Away,D,1,1,Brighton,0.5,0.5,2.1
10,2020-12-06,19:15 (00:45),Matchweek 11,Sun,Home,W,4,0,Wolves,1.2,1.8,0.5
11,2020-12-13,16:30 (22:00),Matchweek 12,Sun,Away,D,1,1,Fulham,2.1,-1.1,1.5
12,2020-12-16,20:00 (01:30),Matchweek 13,Wed,Home,W,2,1,Tottenham,1.2,0.8,1.3
13,2020-12-19,12:30 (18:00),Matchweek 14,Sat,Away,W,7,0,Crystal Palace,2.1,4.9,0.3
14,2020-12-27,16:30 (22:00),Matchweek 15,Sun,Home,D,1,1,West Brom,1.6,-0.6,0.5
15,2020-12-30,20:00 (01:30),Matchweek 16,Wed,Away,D,0,0,Newcastle Utd,1.1,-1.1,0.3
16,2021-01-04,20:00 (01:30),Matchweek 17,Mon,Away,L,0,1,Southampton,1.1,-1.1,0.6
17,2021-01-17,16:30 (22:00),Matchweek 19,Sun,Home,D,0,0,Manchester Utd,1.7,-1.7,0.9
18,2021-01-21,20:00 (01:30),Matchweek 18,Thu,Home,L,0,1,Burnley,2.3,-2.3,1.4
19,2021-01-28,20:00 (01:30),Matchweek 20,Thu,Away,W,3,1,Tottenham,2.1,0.9,0.2
20,2021-01-31,16:30 (22:00),Matchweek 21,Sun,Away,W,3,1,West Ham,1.8,1.2,1.0
21,2021-02-03,20:15 (01:45),Matchweek 22,Wed,Home,L,0,1,Brighton,0.7,-0.7,1.1
22,2021-02-07,16:30 (22:00),Matchweek 23,Sun,Home,L,1,4,Manchester City,1.3,-0.3,3.1
23,2021-02-13,12:30 (18:00),Matchweek 24,Sat,Away,L,1,3,Leicester City,1.8,-0.8,2.6
24,2021-02-20,17:30 (23:00),Matchweek 25,Sat,Home,L,0,2,Everton,1.7,-1.7,1.5
25,2021-02-28,19:15 (00:45),Matchweek 26,Sun,Away,W,2,0,Sheffield Utd,2.7,-1.7,0.6
26,2021-03-04,20:15 (01:45),Matchweek 29,Thu,Home,L,0,1,Chelsea,0.3,-0.3,1.0
27,2021-03-07,14:00 (19:30),Matchweek 27,Sun,Home,L,0,1,Fulham,1.0,-1.0,1.1
28,2021-03-15,20:00 (01:30),Matchweek 28,Mon,Away,W,1,0,Wolves,1.1,-0.1,0.8
29,,,,,,13-7-9,48,36,,51.8,-6.8,35.4
