Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,12:30 (17:00),Matchweek 1,Sat,Away,W,3,0,Fulham,3,13,5,38.5,0.23,0.60,13.6,2,0,0,1.8,1.8,0.16,+1.2,+1.2,Match Report
2020-09-19,20:00 (00:30),Matchweek 2,Sat,Home,W,2,1,West Ham,2,6,3,50.0,0.33,0.67,15.3,0,0,0,1.4,1.4,0.23,+0.6,+0.6,Match Report
2020-09-28,20:00 (00:30),Matchweek 3,Mon,Away,L,1,3,Liverpool,1,4,3,75.0,0.25,0.33,15.3,0,0,0,1.2,1.2,0.30,-0.2,-0.2,Match Report
2020-10-04,14:00 (18:30),Matchweek 4,Sun,Home,W,2,1,Sheffield Utd,2,6,5,83.3,0.33,0.40,16.7,0,0,0,0.4,0.4,0.06,+1.6,+1.6,Match Report
2020-10-17,17:30 (22:00),Matchweek 5,Sat,Away,L,0,1,Manchester City,0,11,3,27.3,0.00,0.00,18.2,2,0,0,0.9,0.9,0.09,-0.9,-0.9,Match Report
2020-10-25,19:15 (00:45),Matchweek 6,Sun,Home,L,0,1,Leicester City,0,12,4,33.3,0.00,0.00,13.2,1,0,0,0.9,0.9,0.08,-0.9,-0.9,Match Report
2020-11-01,16:30 (22:00),Matchweek 7,Sun,Away,W,1,0,Manchester Utd,1,6,1,16.7,0.00,0.00,22.7,0,1,1,1.1,0.3,0.05,-0.1,-0.3,Match Report
2020-11-08,19:15 (00:45),Matchweek 8,Sun,Home,L,0,3,Aston Villa,0,13,2,15.4,0.00,0.00,15.6,0,0,0,1.5,1.5,0.12,-1.5,-1.5,Match Report
2020-11-22,16:30 (22:00),Matchweek 9,Sun,Away,D,0,0,Leeds United,0,9,2,22.2,0.00,0.00,18.5,2,0,0,0.9,0.9,0.10,-0.9,-0.9,Match Report
2020-11-29,19:15 (00:45),Matchweek 10,Sun,Home,L,1,2,Wolves,1,13,2,15.4,0.08,0.50,14.8,2,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
2020-12-06,16:30 (22:00),Matchweek 11,Sun,Away,L,0,2,Tottenham,0,12,2,16.7,0.00,0.00,15.1,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
2020-12-13,19:15 (00:45),Matchweek 12,Sun,Home,L,0,1,Burnley,0,18,6,33.3,0.00,0.00,15.8,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Match Report
2020-12-16,18:00 (23:30),Matchweek 13,Wed,Home,D,1,1,Southampton,1,9,4,44.4,0.11,0.25,21.1,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Match Report
2020-12-19,17:30 (23:00),Matchweek 14,Sat,Away,L,1,2,Everton,1,13,2,15.4,0.00,0.00,17.7,1,1,1,1.4,0.6,0.05,-0.4,-0.6,Match Report
2020-12-26,17:30 (23:00),Matchweek 15,Sat,Home,W,3,1,Chelsea,3,14,6,42.9,0.14,0.33,17.8,1,1,1,2.1,1.3,0.10,+0.9,+0.7,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Away,W,1,0,Brighton,1,11,3,27.3,0.09,0.33,14.2,1,0,0,1.2,1.2,0.11,-0.2,-0.2,Match Report
2021-01-02,20:00 (01:30),Matchweek 17,Sat,Away,W,4,0,West Brom,4,21,11,52.4,0.19,0.36,14.9,0,0,0,3.3,3.3,0.16,+0.7,+0.7,Match Report
2021-01-14,20:00 (01:30),Matchweek 18,Thu,Home,D,0,0,Crystal Palace,0,12,4,33.3,0.00,0.00,18.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
2021-01-18,20:00 (01:30),Matchweek 19,Mon,Home,W,3,0,Newcastle Utd,3,20,6,30.0,0.15,0.50,15.8,1,0,0,2.8,2.8,0.14,+0.2,+0.2,Match Report
