Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-21,18:00 (22:30),Matchweek 2,Mon,Home,W,1,0,Sheffield Utd,1,18,2,11.1,0.06,0.50,15.6,0,0,0,1.0,1.0,0.06,0.0,0.0,Match Report
2020-09-28,17:45 (22:15),Matchweek 3,Mon,Away,W,3,0,Fulham,3,12,5,41.7,0.25,0.60,14.1,0,0,0,1.6,1.6,0.14,+1.4,+1.4,Match Report
2020-10-04,19:15 (23:45),Matchweek 4,Sun,Home,W,7,2,Liverpool,7,18,11,61.1,0.39,0.64,16.4,0,0,0,3.9,3.9,0.22,+3.1,+3.1,Match Report
2020-10-18,19:15 (23:45),Matchweek 5,Sun,Away,W,1,0,Leicester City,1,10,4,40.0,0.10,0.25,17.7,1,0,0,0.6,0.6,0.06,+0.4,+0.4,Match Report
2020-10-23,20:00 (00:30),Matchweek 6,Fri,Home,L,0,3,Leeds United,0,12,3,25.0,0.00,0.00,18.2,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Match Report
2020-11-01,12:00 (17:30),Matchweek 7,Sun,Home,L,3,4,Southampton,3,18,9,50.0,0.11,0.22,15.5,1,1,1,1.8,1.1,0.06,+1.2,+0.9,Match Report
2020-11-08,19:15 (00:45),Matchweek 8,Sun,Away,W,3,0,Arsenal,2,17,5,29.4,0.12,0.40,13.0,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Match Report
2020-11-21,15:00 (20:30),Matchweek 9,Sat,Home,L,1,2,Brighton,1,15,4,26.7,0.07,0.25,17.9,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report
2020-11-30,20:00 (01:30),Matchweek 10,Mon,Away,L,1,2,West Ham,1,15,6,40.0,0.07,0.17,17.2,1,0,1,2.6,1.8,0.12,-1.6,-0.8,Match Report
2020-12-12,12:30 (18:00),Matchweek 12,Sat,Away,W,1,0,Wolves,1,11,1,9.1,0.00,0.00,20.1,1,1,1,1.1,0.3,0.03,-0.1,-0.3,Match Report
2020-12-17,18:00 (23:30),Matchweek 13,Thu,Home,D,0,0,Burnley,0,27,6,22.2,0.00,0.00,16.2,1,0,0,2.0,2.0,0.08,-2.0,-2.0,Match Report
2020-12-20,19:15 (00:45),Matchweek 14,Sun,Away,W,3,0,West Brom,3,19,9,47.4,0.11,0.22,17.8,1,1,1,2.3,1.5,0.08,+0.7,+0.5,Match Report
2020-12-26,15:00 (20:30),Matchweek 15,Sat,Home,W,3,0,Crystal Palace,3,21,10,47.6,0.14,0.30,11.7,0,0,0,3.5,3.5,0.18,-0.5,-0.5,Match Report
2020-12-28,17:30 (23:00),Matchweek 16,Mon,Away,D,1,1,Chelsea,1,10,2,20.0,0.10,0.50,17.1,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Match Report
2021-01-01,20:00 (01:30),Matchweek 17,Fri,Away,L,1,2,Manchester Utd,1,15,5,33.3,0.07,0.20,13.8,1,0,0,1.6,1.6,0.10,-0.6,-0.6,Match Report
2021-01-20,18:00 (23:30),Matchweek 1,Wed,Away,L,0,2,Manchester City,0,11,4,36.4,0.00,0.00,17.3,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
2021-01-23,20:00 (01:30),Matchweek 11,Sat,Home,W,2,0,Newcastle Utd,2,14,5,35.7,0.14,0.40,15.6,0,0,0,1.8,1.8,0.13,+0.2,+0.2,Match Report
2021-01-27,18:00 (23:30),Matchweek 20,Wed,Away,L,2,3,Burnley,2,18,10,55.6,0.11,0.20,15.0,1,0,0,2.1,2.1,0.12,-0.1,-0.1,Match Report
2021-01-30,20:00 (01:30),Matchweek 21,Sat,Away,W,1,0,Southampton,1,8,4,50.0,0.13,0.25,16.2,0,0,0,0.5,0.5,0.06,+0.5,+0.5,Match Report
2021-02-03,20:15 (01:45),Matchweek 22,Wed,Home,L,1,3,West Ham,1,9,2,22.2,0.11,0.50,16.3,1,0,0,0.7,0.7,0.08,+0.3,+0.3,Match Report
2021-02-06,12:30 (18:00),Matchweek 23,Sat,Home,W,1,0,Arsenal,1,12,8,66.7,0.08,0.13,16.4,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Match Report
