Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-14,20:15 (00:45),Matchweek 1,Mon,Away,W,3,1,Brighton,3,9,4,44.4,0.22,0.50,19.8,0,1,1,1.2,0.4,0.04,+1.8,+1.6,Match Report
2020-09-20,16:30 (21:00),Matchweek 2,Sun,Home,L,0,2,Liverpool,0,4,2,50.0,0.00,0.00,21.8,0,0,1,1.0,0.3,0.06,-1.0,-0.3,Match Report
2020-09-26,17:30 (22:00),Matchweek 3,Sat,Away,D,3,3,West Brom,3,24,11,45.8,0.13,0.27,19.5,2,0,0,2.2,2.2,0.09,+0.8,+0.8,Match Report
2020-10-03,12:30 (17:00),Matchweek 4,Sat,Home,W,4,0,Crystal Palace,4,15,4,26.7,0.13,0.50,15.5,0,2,2,2.5,1.0,0.07,+1.5,+1.0,Match Report
2020-10-17,15:00 (19:30),Matchweek 5,Sat,Home,D,3,3,Southampton,3,12,5,41.7,0.25,0.60,10.9,0,0,0,2.0,2.0,0.17,+1.0,+1.0,Match Report
2020-10-24,17:30 (22:00),Matchweek 6,Sat,Away,D,0,0,Manchester Utd,0,6,1,16.7,0.00,0.00,19.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Match Report
2020-10-31,15:00 (20:30),Matchweek 7,Sat,Away,W,3,0,Burnley,3,14,9,64.3,0.21,0.33,16.8,1,0,0,1.4,1.4,0.10,+1.6,+1.6,Match Report
2020-11-07,17:30 (23:00),Matchweek 8,Sat,Home,W,4,1,Sheffield Utd,4,20,9,45.0,0.20,0.44,16.3,1,0,0,2.7,2.7,0.14,+1.3,+1.3,Match Report
2020-11-21,12:30 (18:00),Matchweek 9,Sat,Away,W,2,0,Newcastle Utd,1,14,3,21.4,0.07,0.33,18.0,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
2020-11-29,16:30 (22:00),Matchweek 10,Sun,Home,D,0,0,Tottenham,0,13,3,23.1,0.00,0.00,16.8,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Match Report
2020-12-05,20:00 (01:30),Matchweek 11,Sat,Home,W,3,1,Leeds United,3,23,10,43.5,0.13,0.30,11.4,0,0,0,3.7,3.7,0.16,-0.7,-0.7,Match Report
2020-12-12,20:00 (01:30),Matchweek 12,Sat,Away,L,0,1,Everton,0,10,3,30.0,0.00,0.00,18.8,2,0,0,0.9,0.9,0.09,-0.9,-0.9,Match Report
2020-12-15,18:00 (23:30),Matchweek 13,Tue,Away,L,1,2,Wolves,1,13,3,23.1,0.08,0.33,17.4,1,0,0,1.3,1.3,0.10,-0.3,-0.3,Match Report
2020-12-21,20:00 (01:30),Matchweek 14,Mon,Home,W,3,0,West Ham,3,11,7,63.6,0.27,0.43,13.1,0,0,0,2.1,2.1,0.20,+0.9,+0.9,Match Report
2020-12-26,17:30 (23:00),Matchweek 15,Sat,Away,L,1,3,Arsenal,1,18,2,11.1,0.06,0.50,15.7,1,0,1,2.3,1.5,0.08,-1.3,-0.5,Match Report
2020-12-28,17:30 (23:00),Matchweek 16,Mon,Home,D,1,1,Aston Villa,1,16,5,31.3,0.06,0.20,15.7,0,0,0,1.4,1.4,0.09,-0.4,-0.4,Match Report
2021-01-03,16:30 (22:00),Matchweek 17,Sun,Home,L,1,3,Manchester City,1,9,2,22.2,0.11,0.50,16.6,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Match Report
2021-01-16,17:30 (23:00),Matchweek 19,Sat,Away,W,1,0,Fulham,1,21,6,28.6,0.05,0.17,17.1,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Match Report
2021-01-19,20:15 (01:45),Matchweek 18,Tue,Away,L,0,2,Leicester City,0,9,5,55.6,0.00,0.00,11.8,1,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report
2021-01-27,18:00 (23:30),Matchweek 20,Wed,Home,D,0,0,Wolves,0,15,5,33.3,0.00,0.00,16.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Match Report
2021-01-31,12:00 (17:30),Matchweek 21,Sun,Home,W,2,0,Burnley,2,19,8,42.1,0.11,0.25,16.1,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Match Report
2021-02-04,20:00 (01:30),Matchweek 22,Thu,Away,W,1,0,Tottenham,1,18,1,5.6,0.00,0.00,17.6,0,1,1,2.2,1.4,0.08,-1.2,-1.4,Match Report
2021-02-07,19:15 (00:45),Matchweek 23,Sun,Away,W,2,1,Sheffield Utd,2,8,1,12.5,0.13,1.00,19.4,0,1,1,1.4,0.7,0.08,+0.6,+0.3,Match Report
2021-02-15,20:00 (01:30),Matchweek 24,Mon,Home,W,2,0,Newcastle Utd,2,18,5,27.8,0.11,0.40,13.2,0,0,0,2.0,2.0,0.11,0.0,0.0,Match Report
2021-02-20,12:30 (18:00),Matchweek 25,Sat,Away,D,1,1,Southampton,1,8,2,25.0,0.00,0.00,19.9,1,1,1,1.2,0.5,0.06,-0.2,-0.5,Match Report
2021-02-28,16:30 (22:00),Matchweek 26,Sun,Home,D,0,0,Manchester Utd,0,18,6,33.3,0.00,0.00,20.3,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Match Report
2021-03-04,20:15 (01:45),Matchweek 29,Thu,Away,W,1,0,Liverpool,1,11,5,45.5,0.09,0.20,17.6,0,0,0,1.0,1.0,0.09,0.0,0.0,Match Report
2021-03-08,18:00 (23:30),Matchweek 27,Mon,Home,W,2,0,Everton,1,18,8,44.4,0.00,0.00,19.3,1,1,1,2.9,2.2,0.13,-1.9,-2.2,Match Report
2021-03-13,12:30 (18:00),Matchweek 28,Sat,Away,D,0,0,Leeds United,0,15,8,53.3,0.00,0.00,17.2,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Match Report
,,,,,14-9-6,44,25,,42,409,143,35.0,0.09,0.24,16.6,11,7,9,46.0,39.1,0.10,-4.0,-4.1,
