Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-21,20:15 (00:45),Matchweek 2,Mon,Away,W,3,1,Wolves,3,13,8,61.5,0.15,0.25,20.3,2,1,1,1.9,1.2,0.09,+1.1,+0.8,Match Report
2020-09-27,16:30 (21:00),Matchweek 3,Sun,Home,L,2,5,Leicester City,2,16,5,31.3,0.13,0.40,18.8,1,0,0,0.9,0.9,0.06,+1.1,+1.1,Match Report
2020-10-03,17:30 (22:00),Matchweek 4,Sat,Away,D,1,1,Leeds United,1,23,1,4.3,0.04,1.00,17.6,1,0,0,1.5,1.5,0.06,-0.5,-0.5,Match Report
2020-10-17,17:30 (22:00),Matchweek 5,Sat,Home,W,1,0,Arsenal,1,13,5,38.5,0.08,0.20,16.8,0,0,0,1.5,1.5,0.12,-0.5,-0.5,Match Report
2020-10-24,12:30 (17:00),Matchweek 6,Sat,Away,D,1,1,West Ham,1,14,7,50.0,0.07,0.14,20.3,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
2020-10-31,12:30 (18:00),Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1,16,8,50.0,0.06,0.13,18.3,2,0,0,1.5,1.5,0.10,-0.5,-0.5,Match Report
2020-11-08,16:30 (22:00),Matchweek 8,Sun,Home,D,1,1,Liverpool,1,6,2,33.3,0.17,0.50,19.5,0,0,1,1.6,0.8,0.14,-0.6,+0.2,Match Report
2020-11-21,17:30 (23:00),Matchweek 9,Sat,Away,L,0,2,Tottenham,0,21,5,23.8,0.00,0.00,15.6,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Match Report
2020-11-28,15:00 (20:30),Matchweek 10,Sat,Home,W,5,0,Burnley,5,19,7,36.8,0.26,0.71,15.8,0,0,0,2.8,2.8,0.15,+2.2,+2.2,Match Report
2020-12-05,15:00 (20:30),Matchweek 11,Sat,Home,W,2,0,Fulham,2,15,5,33.3,0.07,0.20,16.0,0,1,1,3.0,2.2,0.15,-1.0,-1.2,Match Report
2020-12-12,17:30 (23:00),Matchweek 12,Sat,Away,D,0,0,Manchester Utd,0,9,2,22.2,0.00,0.00,17.4,1,0,0,1.2,1.2,0.14,-1.2,-1.2,Match Report
2020-12-15,20:00 (01:30),Matchweek 13,Tue,Home,D,1,1,West Brom,1,26,7,26.9,0.04,0.14,16.6,2,0,0,1.9,1.9,0.07,-0.9,-0.9,Match Report
2020-12-19,15:00 (20:30),Matchweek 14,Sat,Away,W,1,0,Southampton,1,11,5,45.5,0.09,0.20,19.1,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Match Report
2020-12-26,20:00 (01:30),Matchweek 15,Sat,Home,W,2,0,Newcastle Utd,2,11,6,54.5,0.18,0.33,12.3,0,0,0,1.8,1.8,0.17,+0.2,+0.2,Match Report
2021-01-03,16:30 (22:00),Matchweek 17,Sun,Away,W,3,1,Chelsea,3,18,6,33.3,0.17,0.50,14.6,1,0,0,2.4,2.4,0.14,+0.6,+0.6,Match Report
2021-01-13,18:00 (23:30),Matchweek 18,Wed,Home,W,1,0,Brighton,1,15,6,40.0,0.07,0.17,16.5,0,0,1,2.6,1.8,0.12,-1.6,-0.8,Match Report
2021-01-17,19:15 (00:45),Matchweek 19,Sun,Home,W,4,0,Crystal Palace,4,13,6,46.2,0.31,0.67,17.8,2,0,0,0.9,0.9,0.07,+3.1,+3.1,Match Report
2021-01-20,18:00 (23:30),Matchweek 1,Wed,Home,W,2,0,Aston Villa,2,27,8,29.6,0.04,0.13,14.8,0,1,1,4.3,3.6,0.15,-2.3,-2.6,Match Report
2021-01-26,20:15 (01:45),Matchweek 20,Tue,Away,W,5,0,West Brom,5,18,7,38.9,0.28,0.71,17.0,0,0,0,2.0,2.0,0.12,+3.0,+3.0,Match Report
2021-01-30,15:00 (20:30),Matchweek 21,Sat,Home,W,1,0,Sheffield Utd,1,10,5,50.0,0.10,0.20,16.2,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Match Report
2021-02-03,18:00 (23:30),Matchweek 22,Wed,Away,W,2,0,Burnley,2,13,6,46.2,0.15,0.33,15.0,0,0,0,2.6,2.6,0.21,-0.6,-0.6,Match Report
2021-02-07,16:30 (22:00),Matchweek 23,Sun,Away,W,4,1,Liverpool,4,7,5,71.4,0.57,0.80,12.8,0,0,1,3.1,2.4,0.35,+0.9,+1.6,Match Report
2021-02-13,17:30 (23:00),Matchweek 24,Sat,Home,W,3,0,Tottenham,3,14,5,35.7,0.14,0.40,15.2,0,1,1,2.9,2.1,0.16,+0.1,-0.1,Match Report
2021-02-17,20:15 (01:45),Matchweek 16,Wed,Away,W,3,1,Everton,3,16,7,43.8,0.19,0.43,17.0,0,0,0,1.5,1.5,0.09,+1.5,+1.5,Match Report
2021-02-21,16:30 (22:00),Matchweek 25,Sun,Away,W,1,0,Arsenal,1,15,3,20.0,0.07,0.33,15.4,0,0,0,2.1,2.1,0.14,-1.1,-1.1,Match Report
2021-02-27,12:30 (18:00),Matchweek 26,Sat,Home,W,2,1,West Ham,2,10,3,30.0,0.20,0.67,19.3,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Match Report
2021-03-02,20:00 (01:30),Matchweek 29,Tue,Home,W,4,1,Wolves,3,21,10,47.6,0.14,0.30,13.9,0,0,0,2.3,2.3,0.11,+0.7,+0.7,Match Report
2021-03-07,16:30 (22:00),Matchweek 27,Sun,Home,L,0,2,Manchester Utd,0,23,6,26.1,0.00,0.00,18.1,1,0,0,1.5,1.5,0.06,-1.5,-1.5,Match Report
2021-03-10,18:00 (23:30),Matchweek 33,Wed,Home,W,5,2,Southampton,5,17,10,58.8,0.29,0.50,15.7,0,0,0,2.7,2.7,0.17,+2.3,+2.3,Match Report
2021-03-13,20:00 (01:30),Matchweek 28,Sat,Away,W,3,0,Fulham,3,7,6,85.7,0.29,0.33,14.7,0,1,1,2.3,1.5,0.21,+0.7,+0.5,Match Report
,,,,,22-5-3,64,21,,63,457,172,37.6,0.13,0.34,16.6,14,5,8,58.1,52.0,0.12,+4.9,+6.0,
