Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,15:00 (19:30),Matchweek 1,Sat,Home,W,1,0,Southampton,1,6,3,50.0,0.17,0.33,10.1,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Match Report
2020-09-19,17:30 (22:00),Matchweek 2,Sat,Away,W,3,1,Manchester Utd,3,13,4,30.8,0.15,0.50,18.4,0,1,1,1.6,0.9,0.07,+1.4,+1.1,Match Report
2020-09-26,15:00 (19:30),Matchweek 3,Sat,Home,L,1,2,Everton,1,8,1,12.5,0.13,1.00,16.5,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Match Report
2020-10-03,12:30 (17:00),Matchweek 4,Sat,Away,L,0,4,Chelsea,0,4,0,0.0,0.00,,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report
2020-10-18,14:00 (18:30),Matchweek 5,Sun,Home,D,1,1,Brighton,1,0,0,,,,,0,1,1,0.8,0.0,,+0.2,0.0,Match Report
2020-10-24,15:00 (19:30),Matchweek 6,Sat,Away,W,2,1,Fulham,2,14,10,71.4,0.14,0.20,11.7,1,0,0,2.6,2.6,0.19,-0.6,-0.6,Match Report
2020-10-30,20:00 (01:30),Matchweek 7,Fri,Away,L,0,2,Wolves,0,11,2,18.2,0.00,0.00,19.1,2,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
2020-11-07,15:00 (20:30),Matchweek 8,Sat,Home,W,4,1,Leeds United,3,10,6,60.0,0.30,0.50,16.7,1,0,0,0.9,0.9,0.09,+2.1,+2.1,Match Report
2020-11-23,17:30 (23:00),Matchweek 9,Mon,Away,L,0,1,Burnley,0,15,5,33.3,0.00,0.00,18.7,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Match Report
2020-11-27,20:00 (01:30),Matchweek 10,Fri,Home,L,0,2,Newcastle Utd,0,12,3,25.0,0.00,0.00,15.3,1,0,0,1.0,1.0,0.08,-1.0,-1.0,Match Report
2020-12-06,12:00 (17:30),Matchweek 11,Sun,Away,W,5,1,West Brom,4,18,7,38.9,0.22,0.57,15.4,0,0,0,1.8,1.8,0.10,+2.2,+2.2,Match Report
2020-12-13,14:15 (19:45),Matchweek 12,Sun,Home,D,1,1,Tottenham,1,16,5,31.3,0.06,0.20,15.2,2,0,0,1.2,1.2,0.07,-0.2,-0.2,Match Report
2020-12-16,20:00 (01:30),Matchweek 13,Wed,Away,D,1,1,West Ham,1,8,3,37.5,0.13,0.33,12.8,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Match Report
2020-12-19,12:30 (18:00),Matchweek 14,Sat,Home,L,0,7,Liverpool,0,5,3,60.0,0.00,0.00,21.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
2020-12-26,15:00 (20:30),Matchweek 15,Sat,Away,L,0,3,Aston Villa,0,13,6,46.2,0.00,0.00,18.4,2,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report
2020-12-28,15:00 (20:30),Matchweek 16,Mon,Home,D,1,1,Leicester City,1,4,1,25.0,0.25,1.00,9.9,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Match Report
2021-01-02,15:00 (20:30),Matchweek 17,Sat,Home,W,2,0,Sheffield Utd,2,9,4,44.4,0.22,0.50,17.1,0,0,0,0.6,0.6,0.07,+1.4,+1.4,Match Report
2021-01-14,20:00 (01:30),Matchweek 18,Thu,Away,D,0,0,Arsenal,0,13,3,23.1,0.00,0.00,15.0,1,0,0,0.9,0.9,0.07,-0.9,-0.9,Match Report
2021-01-17,19:15 (00:45),Matchweek 19,Sun,Away,L,0,4,Manchester City,0,2,0,0.0,0.00,,31.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Match Report
2021-01-26,18:00 (23:30),Matchweek 20,Tue,Home,L,2,3,West Ham,2,6,3,50.0,0.33,0.67,20.1,0,0,0,0.5,0.5,0.08,+1.5,+1.5,Match Report
2021-01-30,15:00 (20:30),Matchweek 21,Sat,Home,W,1,0,Wolves,1,11,2,18.2,0.09,0.50,20.5,2,0,0,0.8,0.8,0.07,+0.2,+0.2,Match Report
2021-02-02,20:15 (01:45),Matchweek 22,Tue,Away,W,2,1,Newcastle Utd,2,6,3,50.0,0.33,0.67,17.7,0,0,0,0.9,0.9,0.15,+1.1,+1.1,Match Report
2021-02-08,20:00 (01:30),Matchweek 23,Mon,Away,L,0,2,Leeds United,0,8,3,37.5,0.00,0.00,18.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
2021-02-13,15:00 (20:30),Matchweek 24,Sat,Home,L,0,3,Burnley,0,13,3,23.1,0.00,0.00,18.1,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
2021-02-22,20:00 (01:30),Matchweek 25,Mon,Away,W,2,1,Brighton,2,3,2,66.7,0.67,1.00,14.0,0,0,0,0.2,0.2,0.06,+1.8,+1.8,Match Report
2021-02-28,12:00 (17:30),Matchweek 26,Sun,Home,D,0,0,Fulham,0,3,0,0.0,0.00,,14.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Match Report
2021-03-03,20:15 (01:45),Matchweek 29,Wed,Home,D,0,0,Manchester Utd,0,8,2,25.0,0.00,0.00,16.7,1,0,0,0.8,0.8,0.10,-0.8,-0.8,Match Report
2021-03-07,19:15 (00:45),Matchweek 27,Sun,Away,L,1,4,Tottenham,1,5,1,20.0,0.20,1.00,13.2,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Match Report
2021-03-13,15:00 (20:30),Matchweek 28,Sat,Home,W,1,0,West Brom,1,4,3,75.0,0.00,0.00,22.1,0,1,1,1.3,0.5,0.13,-0.3,-0.5,Match Report
,,,,,10-7-12,31,47,,29,248,88,35.5,0.10,0.30,16.8,13,3,3,23.3,21.1,0.09,+5.7,+4.9,
