Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-13,16:30 (21:00),Matchweek 1,Sun,Away,W,1,0,Tottenham,1,15,5,33.3,0.07,0.20,17.9,0,0,0,1.4,1.4,0.10,-0.4,-0.4,Match Report
2020-09-19,12:30 (17:00),Matchweek 2,Sat,Home,W,5,2,West Brom,5,16,7,43.8,0.31,0.71,11.3,1,0,0,3.4,3.4,0.22,+1.6,+1.6,Match Report
2020-09-26,15:00 (19:30),Matchweek 3,Sat,Away,W,2,1,Crystal Palace,2,9,4,44.4,0.11,0.25,16.6,1,1,1,2.0,1.3,0.14,0.0,-0.3,Match Report
2020-10-03,15:00 (19:30),Matchweek 4,Sat,Home,W,4,2,Brighton,4,11,6,54.5,0.36,0.67,16.3,0,0,0,1.8,1.8,0.16,+2.2,+2.2,Match Report
2020-10-17,12:30 (17:00),Matchweek 5,Sat,Home,D,2,2,Liverpool,2,11,5,45.5,0.18,0.40,15.5,0,0,0,1.3,1.3,0.12,+0.7,+0.7,Match Report
2020-10-25,14:00 (19:30),Matchweek 6,Sun,Away,L,0,2,Southampton,0,6,2,33.3,0.00,0.00,19.5,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
2020-11-01,14:00 (19:30),Matchweek 7,Sun,Away,L,1,2,Newcastle Utd,1,15,4,26.7,0.07,0.25,18.0,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Match Report
2020-11-07,12:30 (18:00),Matchweek 8,Sat,Home,L,1,3,Manchester Utd,1,7,1,14.3,0.14,1.00,15.0,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Match Report
2020-11-22,12:00 (17:30),Matchweek 9,Sun,Away,W,3,2,Fulham,3,9,7,77.8,0.33,0.43,15.1,0,0,0,1.6,1.6,0.17,+1.4,+1.4,Match Report
2020-11-28,17:30 (23:00),Matchweek 10,Sat,Home,L,0,1,Leeds United,0,17,9,52.9,0.00,0.00,16.1,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Match Report
2020-12-05,12:30 (18:00),Matchweek 11,Sat,Away,D,1,1,Burnley,1,13,6,46.2,0.08,0.17,17.8,0,0,0,1.7,1.7,0.13,-0.7,-0.7,Match Report
2020-12-12,20:00 (01:30),Matchweek 12,Sat,Home,W,1,0,Chelsea,1,8,3,37.5,0.00,0.00,16.9,1,1,1,1.3,0.5,0.07,-0.3,-0.5,Match Report
2020-12-16,18:00 (23:30),Matchweek 13,Wed,Away,W,2,0,Leicester City,2,11,6,54.5,0.18,0.33,11.7,0,0,0,1.2,1.2,0.13,+0.8,+0.8,Match Report
2020-12-19,17:30 (23:00),Matchweek 14,Sat,Home,W,2,1,Arsenal,1,9,2,22.2,0.11,0.50,18.1,1,0,0,0.8,0.8,0.09,+0.2,+0.2,Match Report
