Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,12:30 (17:00),Matchweek 1,Sat,Home,L,0,3,Arsenal,0,5,2,40.0,0.00,0.00,26.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report
2020-09-19,15:00 (19:30),Matchweek 2,Sat,Away,L,3,4,Leeds United,3,13,5,38.5,0.15,0.40,20.9,1,1,1,1.8,1.0,0.08,+1.2,+1.0,Match Report
2020-09-28,17:45 (22:15),Matchweek 3,Mon,Home,L,0,3,Aston Villa,0,16,2,12.5,0.00,0.00,16.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Match Report
2020-10-04,14:00 (18:30),Matchweek 4,Sun,Away,L,0,1,Wolves,0,10,2,20.0,0.00,0.00,17.5,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
2020-10-18,12:00 (16:30),Matchweek 5,Sun,Away,D,1,1,Sheffield Utd,1,14,6,42.9,0.07,0.17,16.6,0,0,1,1.7,1.0,0.07,-0.7,0.0,Match Report
2020-10-24,15:00 (19:30),Matchweek 6,Sat,Home,L,1,2,Crystal Palace,1,16,3,18.8,0.06,0.33,18.2,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Match Report
2020-11-02,17:30 (23:00),Matchweek 7,Mon,Home,W,2,0,West Brom,2,13,4,30.8,0.15,0.50,17.8,0,0,0,1.5,1.5,0.12,+0.5,+0.5,Match Report
2020-11-07,20:00 (01:30),Matchweek 8,Sat,Away,L,0,1,West Ham,0,12,2,16.7,0.00,0.00,19.7,1,0,1,1.6,0.9,0.07,-1.6,-0.9,Match Report
2020-11-22,12:00 (17:30),Matchweek 9,Sun,Home,L,2,3,Everton,2,13,6,46.2,0.15,0.33,18.9,0,0,1,1.3,1.3,0.10,+0.7,+0.7,Match Report
2020-11-30,17:30 (23:00),Matchweek 10,Mon,Away,W,2,1,Leicester City,2,9,4,44.4,0.11,0.25,20.4,1,1,1,1.8,1.1,0.12,+0.2,-0.1,Match Report
