Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,17:30 (22:00),Matchweek 1,Sat,Away,L,3,4,Liverpool,3,6,3,50.0,0.50,1.00,17.5,1,0,0,0.6,0.6,0.09,+2.4,+2.4,Match Report
2020-09-19,15:00 (19:30),Matchweek 2,Sat,Home,W,4,3,Fulham,4,9,6,66.7,0.33,0.50,16.1,1,1,1,1.7,1.0,0.11,+2.3,+2.0,Match Report
2020-09-27,12:00 (16:30),Matchweek 3,Sun,Away,W,1,0,Sheffield Utd,1,18,9,50.0,0.06,0.11,18.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Match Report
2020-10-03,17:30 (22:00),Matchweek 4,Sat,Home,D,1,1,Manchester City,1,12,7,58.3,0.08,0.14,11.6,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Match Report
2020-10-19,20:00 (00:30),Matchweek 5,Mon,Home,L,0,1,Wolves,0,13,2,15.4,0.00,0.00,12.0,0,0,0,1.6,1.6,0.12,-1.6,-1.6,Match Report
2020-10-23,20:00 (00:30),Matchweek 6,Fri,Away,W,3,0,Aston Villa,3,28,9,32.1,0.11,0.33,16.3,1,0,0,3.6,3.6,0.13,-0.6,-0.6,Match Report
2020-11-02,20:00 (01:30),Matchweek 7,Mon,Home,L,1,4,Leicester City,1,11,5,45.5,0.09,0.20,17.9,0,0,0,1.0,1.0,0.09,0.0,0.0,Match Report
2020-11-07,15:00 (20:30),Matchweek 8,Sat,Away,L,1,4,Crystal Palace,1,9,3,33.3,0.11,0.33,17.4,1,0,0,0.8,0.8,0.09,+0.2,+0.2,Match Report
2020-11-22,16:30 (22:00),Matchweek 9,Sun,Home,D,0,0,Arsenal,0,25,4,16.0,0.00,0.00,17.0,0,0,0,2.5,2.5,0.10,-2.5,-2.5,Match Report
2020-11-28,17:30 (23:00),Matchweek 10,Sat,Away,W,1,0,Everton,1,22,6,27.3,0.05,0.17,16.7,0,0,0,2.9,2.9,0.14,-1.9,-1.9,Match Report
2020-12-05,20:00 (01:30),Matchweek 11,Sat,Away,L,1,3,Chelsea,1,9,3,33.3,0.11,0.33,15.5,0,0,0,1.3,1.3,0.14,-0.3,-0.3,Match Report
2020-12-11,20:00 (01:30),Matchweek 12,Fri,Home,L,1,2,West Ham,1,12,6,50.0,0.00,0.00,15.9,0,1,1,1.8,1.1,0.09,-0.8,-1.1,Match Report
2020-12-16,18:00 (23:30),Matchweek 13,Wed,Home,W,5,2,Newcastle Utd,5,25,9,36.0,0.20,0.56,15.7,0,0,0,2.8,2.8,0.11,+2.2,+2.2,Match Report
2020-12-20,16:30 (22:00),Matchweek 14,Sun,Away,L,2,6,Manchester Utd,2,18,5,27.8,0.11,0.40,14.0,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Match Report
2020-12-27,12:00 (17:30),Matchweek 15,Sun,Home,W,1,0,Burnley,1,10,3,30.0,0.00,0.00,20.1,0,1,1,1.8,1.1,0.11,-0.8,-1.1,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Away,W,5,0,West Brom,4,14,6,42.9,0.29,0.67,18.2,0,0,0,0.9,0.9,0.06,+3.1,+3.1,Match Report
2021-01-02,12:30 (18:00),Matchweek 17,Sat,Away,L,0,3,Tottenham,0,18,5,27.8,0.00,0.00,17.7,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Match Report
2021-01-16,15:00 (20:30),Matchweek 19,Sat,Home,L,0,1,Brighton,0,7,2,28.6,0.00,0.00,17.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
2021-01-26,18:00 (23:30),Matchweek 20,Tue,Away,W,2,1,Newcastle Utd,2,9,2,22.2,0.22,1.00,13.7,0,0,0,0.9,0.9,0.11,+1.1,+1.1,Match Report
2021-01-31,14:00 (19:30),Matchweek 21,Sun,Away,W,3,1,Leicester City,3,8,6,75.0,0.38,0.50,13.4,0,0,0,1.8,1.8,0.22,+1.2,+1.2,Match Report
2021-02-03,19:30 (01:00),Matchweek 22,Wed,Home,L,1,2,Everton,1,16,7,43.8,0.06,0.14,14.2,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Match Report
2021-02-08,20:00 (01:30),Matchweek 23,Mon,Home,W,2,0,Crystal Palace,2,17,7,41.2,0.12,0.29,13.4,1,0,0,2.8,2.8,0.17,-0.8,-0.8,Match Report
2021-02-14,16:30 (22:00),Matchweek 24,Sun,Away,L,2,4,Arsenal,2,9,5,55.6,0.22,0.40,16.7,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Match Report
2021-02-19,20:00 (01:30),Matchweek 25,Fri,Away,L,0,1,Wolves,0,18,8,44.4,0.00,0.00,13.5,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Match Report
2021-02-23,18:00 (23:30),Matchweek 18,Tue,Home,W,3,0,Southampton,3,11,7,63.6,0.27,0.43,15.3,1,0,0,1.3,1.3,0.12,+1.7,+1.7,Match Report
2021-02-27,17:30 (23:00),Matchweek 26,Sat,Home,L,0,1,Aston Villa,0,14,3,21.4,0.00,0.00,18.7,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
2021-03-08,20:00 (01:30),Matchweek 27,Mon,Away,L,0,2,West Ham,0,17,2,11.8,0.00,0.00,17.4,0,0,0,1.7,1.7,0.10,-1.7,-1.7,Match Report
2021-03-13,12:30 (18:00),Matchweek 28,Sat,Home,D,0,0,Chelsea,0,7,4,57.1,0.00,0.00,15.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
2021-03-19,20:00 (01:30),Matchweek 29,Fri,Away,W,2,1,Fulham,2,14,4,28.6,0.14,0.50,16.2,1,0,0,1.5,1.5,0.10,+0.5,+0.5,Match Report
,,,,,12-3-14,45,47,,44,406,148,36.5,0.10,0.28,16.0,7,3,3,43.4,41.1,0.10,+0.6,-0.1,
