Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-13,14:00 (18:30),Matchweek 1,Sun,Away,W,3,0,West Brom,3,11,5,45.5,0.09,0.20,19.2,1,2,2,2.2,0.7,0.06,+0.8,+0.3,Match Report
2020-09-20,19:00 (23:30),Matchweek 2,Sun,Home,W,4,2,Burnley,3,12,6,50.0,0.25,0.50,15.9,0,0,0,1.4,1.4,0.12,+1.6,+1.6,Match Report
2020-09-27,16:30 (21:00),Matchweek 3,Sun,Away,W,5,2,Manchester City,5,4,4,100.0,0.50,0.50,27.5,0,3,3,2.6,0.3,0.07,+2.4,+1.7,Match Report
2020-10-04,12:00 (16:30),Matchweek 4,Sun,Home,L,0,3,West Ham,0,4,0,0.0,0.00,,17.5,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Match Report
2020-10-18,19:15 (23:45),Matchweek 5,Sun,Home,L,0,1,Aston Villa,0,11,5,45.5,0.00,0.00,18.9,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
2020-10-25,19:15 (00:45),Matchweek 6,Sun,Away,W,1,0,Arsenal,1,6,3,50.0,0.17,0.33,30.2,1,0,0,1.2,1.2,0.19,-0.2,-0.2,Match Report
2020-11-02,20:00 (01:30),Matchweek 7,Mon,Away,W,4,1,Leeds United,4,9,7,77.8,0.33,0.43,14.4,0,1,1,3.5,2.7,0.32,+0.5,+0.3,Match Report
2020-11-08,14:00 (19:30),Matchweek 8,Sun,Home,W,1,0,Wolves,1,8,1,12.5,0.00,0.00,22.0,0,1,2,1.9,0.4,0.05,-0.9,-0.4,Match Report
2020-11-22,19:15 (00:45),Matchweek 9,Sun,Away,L,0,3,Liverpool,0,11,4,36.4,0.00,0.00,15.5,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Match Report
2020-11-30,17:30 (23:00),Matchweek 10,Mon,Home,L,1,2,Fulham,1,17,4,23.5,0.06,0.25,18.1,1,0,0,0.9,0.9,0.05,+0.1,+0.1,Match Report
2020-12-06,14:15 (19:45),Matchweek 11,Sun,Away,W,2,1,Sheffield Utd,2,13,4,30.8,0.15,0.50,19.0,1,0,0,1.5,1.5,0.12,+0.5,+0.5,Match Report
2020-12-13,19:15 (00:45),Matchweek 12,Sun,Home,W,3,0,Brighton,3,16,6,37.5,0.19,0.50,16.3,0,0,0,1.7,1.7,0.11,+1.3,+1.3,Match Report
2020-12-16,18:00 (23:30),Matchweek 13,Wed,Home,L,0,2,Everton,0,14,2,14.3,0.00,0.00,18.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
2020-12-20,14:15 (19:45),Matchweek 14,Sun,Away,W,2,0,Tottenham,1,16,3,18.8,0.00,0.00,18.2,0,1,1,1.5,0.8,0.05,-0.5,-0.8,Match Report
2020-12-26,12:30 (18:00),Matchweek 15,Sat,Home,D,2,2,Manchester Utd,1,10,1,10.0,0.10,1.00,16.6,1,0,0,1.2,1.2,0.12,-0.2,-0.2,Match Report
2020-12-28,15:00 (20:30),Matchweek 16,Mon,Away,D,1,1,Crystal Palace,1,16,2,12.5,0.06,0.50,19.8,2,0,1,1.8,1.0,0.06,-0.8,0.0,Match Report
2021-01-03,14:15 (19:45),Matchweek 17,Sun,Away,W,2,1,Newcastle Utd,2,9,3,33.3,0.22,0.67,18.8,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Match Report
2021-01-16,20:00 (01:30),Matchweek 19,Sat,Home,W,2,0,Southampton,2,16,4,25.0,0.13,0.50,14.0,0,0,0,2.1,2.1,0.13,-0.1,-0.1,Match Report
2021-01-19,20:15 (01:45),Matchweek 18,Tue,Home,W,2,0,Chelsea,2,8,6,75.0,0.25,0.33,17.1,0,0,0,1.2,1.2,0.15,+0.8,+0.8,Match Report
2021-01-27,20:15 (01:45),Matchweek 20,Wed,Away,D,1,1,Everton,1,19,6,31.6,0.05,0.17,19.9,2,0,0,1.1,1.1,0.06,-0.1,-0.1,Match Report
2021-01-31,14:00 (19:30),Matchweek 21,Sun,Home,L,1,3,Leeds United,1,18,8,44.4,0.06,0.13,18.6,1,0,0,1.9,1.9,0.11,-0.9,-0.9,Match Report
2021-02-03,18:00 (23:30),Matchweek 22,Wed,Away,W,2,0,Fulham,2,9,5,55.6,0.22,0.40,15.2,0,0,0,1.1,1.1,0.12,+0.9,+0.9,Match Report
