Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,17:30 (22:00),Matchweek 1,Sat,Home,W,4,3,Leeds United,4,20,4,20.0,0.10,0.50,17.0,0,2,2,3.3,1.8,0.09,+0.7,+0.2,Match Report
2020-09-20,16:30 (21:00),Matchweek 2,Sun,Away,W,2,0,Chelsea,2,17,5,29.4,0.12,0.40,17.7,1,0,0,2.6,2.6,0.16,-0.6,-0.6,Match Report
2020-09-28,20:00 (00:30),Matchweek 3,Mon,Home,W,3,1,Arsenal,3,21,9,42.9,0.14,0.33,16.8,0,0,0,3.2,3.2,0.16,-0.2,-0.2,Match Report
2020-10-04,19:15 (23:45),Matchweek 4,Sun,Away,L,2,7,Aston Villa,2,14,8,57.1,0.14,0.25,15.8,1,0,0,1.8,1.8,0.13,+0.2,+0.2,Match Report
2020-10-17,12:30 (17:00),Matchweek 5,Sat,Away,D,2,2,Everton,2,22,8,36.4,0.09,0.25,15.0,1,0,0,2.2,2.2,0.11,-0.2,-0.2,Match Report
2020-10-24,20:00 (00:30),Matchweek 6,Sat,Home,W,2,1,Sheffield Utd,2,17,5,29.4,0.12,0.40,18.2,1,0,0,2.5,2.5,0.16,-0.5,-0.5,Match Report
2020-10-31,17:30 (23:00),Matchweek 7,Sat,Home,W,2,1,West Ham,2,8,2,25.0,0.13,0.50,18.6,1,1,1,1.8,1.1,0.13,+0.2,-0.1,Match Report
2020-11-08,16:30 (22:00),Matchweek 8,Sun,Away,D,1,1,Manchester City,1,9,2,22.2,0.00,0.00,21.5,0,1,1,1.4,0.6,0.07,-0.4,-0.6,Match Report
2020-11-22,19:15 (00:45),Matchweek 9,Sun,Home,W,3,0,Leicester City,2,24,12,50.0,0.08,0.17,11.9,0,0,0,3.7,3.7,0.17,-1.7,-1.7,Match Report
2020-11-28,12:30 (18:00),Matchweek 10,Sat,Away,D,1,1,Brighton,1,6,2,33.3,0.17,0.50,20.9,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Match Report
2020-12-06,19:15 (00:45),Matchweek 11,Sun,Home,W,4,0,Wolves,3,11,6,54.5,0.27,0.50,16.6,1,0,0,1.2,1.2,0.11,+1.8,+1.8,Match Report
2020-12-13,16:30 (22:00),Matchweek 12,Sun,Away,D,1,1,Fulham,1,11,5,45.5,0.00,0.00,20.0,1,1,1,2.1,1.4,0.13,-1.1,-1.4,Match Report
2020-12-16,20:00 (01:30),Matchweek 13,Wed,Home,W,2,1,Tottenham,2,17,11,64.7,0.12,0.18,15.5,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Match Report
2020-12-19,12:30 (18:00),Matchweek 14,Sat,Away,W,7,0,Crystal Palace,7,14,7,50.0,0.50,1.00,13.2,1,0,0,2.1,2.1,0.15,+4.9,+4.9,Match Report
