Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,20:00 (00:30),Matchweek 1,Sat,Away,W,2,0,West Ham,2,16,3,18.8,0.13,0.67,16.2,1,0,0,1.5,1.5,0.09,+0.5,+0.5,Match Report
2020-09-20,14:00 (18:30),Matchweek 2,Sun,Home,L,0,3,Brighton,0,6,0,0.0,0.00,,20.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Match Report
2020-09-27,14:00 (18:30),Matchweek 3,Sun,Away,D,1,1,Tottenham,1,5,0,0.0,0.00,,19.1,0,1,1,1.0,0.2,0.04,0.0,-0.2,Match Report
2020-10-03,20:00 (00:30),Matchweek 4,Sat,Home,W,3,1,Burnley,3,9,4,44.4,0.22,0.50,19.4,0,1,1,2.0,1.2,0.14,+1.0,+0.8,Match Report
2020-10-17,20:00 (00:30),Matchweek 5,Sat,Home,L,1,4,Manchester Utd,0,7,4,57.1,0.00,0.00,19.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report
2020-10-25,16:30 (22:00),Matchweek 6,Sun,Away,D,1,1,Wolves,1,5,2,40.0,0.20,0.50,20.9,1,0,0,0.2,0.2,0.05,+0.8,+0.8,Match Report
2020-11-01,14:00 (19:30),Matchweek 7,Sun,Home,W,2,1,Everton,2,9,3,33.3,0.11,0.33,16.9,0,1,1,2.5,1.7,0.19,-0.5,-0.7,Match Report
2020-11-06,20:00 (01:30),Matchweek 8,Fri,Away,L,0,2,Southampton,0,4,2,50.0,0.00,0.00,13.1,1,0,0,0.5,0.5,0.14,-0.5,-0.5,Match Report
2020-11-21,12:30 (18:00),Matchweek 9,Sat,Home,L,0,2,Chelsea,0,8,1,12.5,0.00,0.00,24.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
2020-11-27,20:00 (01:30),Matchweek 10,Fri,Away,W,2,0,Crystal Palace,2,14,7,50.0,0.14,0.29,17.5,2,0,0,1.5,1.5,0.10,+0.5,+0.5,Match Report
2020-12-12,15:00 (20:30),Matchweek 12,Sat,Home,W,2,1,West Brom,2,12,6,50.0,0.17,0.33,15.9,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Match Report
2020-12-16,18:00 (23:30),Matchweek 13,Wed,Away,L,2,5,Leeds United,2,9,4,44.4,0.22,0.50,13.0,1,0,0,0.9,0.9,0.11,+1.1,+1.1,Match Report
2020-12-19,20:00 (01:30),Matchweek 14,Sat,Home,D,1,1,Fulham,1,10,4,40.0,0.00,0.00,21.8,2,1,1,1.4,0.6,0.06,-0.4,-0.6,Match Report
2020-12-26,20:00 (01:30),Matchweek 15,Sat,Away,L,0,2,Manchester City,0,8,2,25.0,0.00,0.00,19.3,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Match Report
2020-12-30,20:00 (01:30),Matchweek 16,Wed,Home,D,0,0,Liverpool,0,8,2,25.0,0.00,0.00,16.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
2021-01-03,14:15 (19:45),Matchweek 17,Sun,Home,L,1,2,Leicester City,1,8,2,25.0,0.13,0.50,14.3,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Match Report
2021-01-12,18:00 (23:30),Matchweek 18,Tue,Away,L,0,1,Sheffield Utd,0,7,3,42.9,0.00,0.00,22.0,2,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
2021-01-18,20:00 (01:30),Matchweek 19,Mon,Away,L,0,3,Arsenal,0,4,1,25.0,0.00,0.00,17.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Match Report
2021-01-23,20:00 (01:30),Matchweek 11,Sat,Away,L,0,2,Aston Villa,0,7,0,0.0,0.00,,13.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Match Report
2021-01-26,18:00 (23:30),Matchweek 20,Tue,Home,L,1,2,Leeds United,1,22,5,22.7,0.05,0.20,21.1,4,0,0,1.4,1.4,0.06,-0.4,-0.4,Match Report
2021-01-30,12:30 (18:00),Matchweek 21,Sat,Away,W,2,0,Everton,2,13,3,23.1,0.15,0.67,16.5,2,0,0,1.8,1.8,0.14,+0.2,+0.2,Match Report
2021-02-02,20:15 (01:45),Matchweek 22,Tue,Home,L,1,2,Crystal Palace,1,21,5,23.8,0.05,0.20,15.4,1,0,0,1.8,1.8,0.09,-0.8,-0.8,Match Report
2021-02-06,15:00 (20:30),Matchweek 23,Sat,Home,W,3,2,Southampton,3,6,4,66.7,0.50,0.75,15.7,1,0,0,0.8,0.8,0.14,+2.2,+2.2,Match Report
2021-02-15,20:00 (01:30),Matchweek 24,Mon,Away,L,0,2,Chelsea,0,10,4,40.0,0.00,0.00,19.0,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
2021-02-21,19:00 (00:30),Matchweek 25,Sun,Away,L,1,3,Manchester Utd,1,10,6,60.0,0.10,0.17,22.9,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Match Report
2021-02-27,20:00 (01:30),Matchweek 26,Sat,Home,D,1,1,Wolves,1,19,6,31.6,0.05,0.17,18.6,1,0,0,1.5,1.5,0.08,-0.5,-0.5,Match Report
2021-03-07,12:00 (17:30),Matchweek 27,Sun,Away,D,0,0,West Brom,0,9,5,55.6,0.00,0.00,18.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Match Report
2021-03-12,20:00 (01:30),Matchweek 28,Fri,Home,D,1,1,Aston Villa,1,12,3,25.0,0.08,0.33,14.3,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report
2021-03-20,20:00 (01:30),Matchweek 29,Sat,Away,L,0,3,Brighton,0,3,1,33.3,0.00,0.00,19.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report
,,,,,7-7-15,28,48,,27,281,92,32.7,0.08,0.25,17.9,20,4,4,26.4,23.4,0.08,+0.6,-0.4,
