Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-14,18:00 (22:30),Matchweek 1,Mon,Home,L,0,2,Wolves,0,9,1,11.1,0.00,0.00,12.0,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Match Report
2020-09-21,18:00 (22:30),Matchweek 2,Mon,Away,L,0,1,Aston Villa,0,3,0,0.0,0.00,,20.3,0,0,1,0.9,0.1,0.03,-0.9,-0.1,Match Report
2020-09-27,12:00 (16:30),Matchweek 3,Sun,Home,L,0,1,Leeds United,0,13,3,23.1,0.00,0.00,16.7,0,0,0,1.6,1.6,0.12,-1.6,-1.6,Match Report
2020-10-04,14:00 (18:30),Matchweek 4,Sun,Away,L,1,2,Arsenal,1,6,2,33.3,0.17,0.50,24.1,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Match Report
2020-10-18,12:00 (16:30),Matchweek 5,Sun,Home,D,1,1,Fulham,1,9,5,55.6,0.00,0.00,19.1,0,1,1,1.5,0.7,0.08,-0.5,-0.7,Match Report
2020-10-24,20:00 (00:30),Matchweek 6,Sat,Away,L,1,2,Liverpool,1,12,1,8.3,0.00,0.00,18.5,0,1,1,1.5,0.8,0.06,-0.5,-0.8,Match Report
2020-10-31,12:30 (18:00),Matchweek 7,Sat,Home,L,0,1,Manchester City,0,4,1,25.0,0.00,0.00,14.9,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Match Report
2020-11-07,17:30 (23:00),Matchweek 8,Sat,Away,L,1,4,Chelsea,1,6,3,50.0,0.17,0.33,18.5,0,0,0,0.6,0.6,0.11,+0.4,+0.4,Match Report
2020-11-22,14:00 (19:30),Matchweek 9,Sun,Home,L,0,1,West Ham,0,9,5,55.6,0.00,0.00,16.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report
2020-11-28,20:00 (01:30),Matchweek 10,Sat,Away,L,0,1,West Brom,0,21,5,23.8,0.00,0.00,14.1,0,0,0,2.7,2.7,0.14,-2.7,-2.7,Match Report
2020-12-06,14:15 (19:45),Matchweek 11,Sun,Home,L,1,2,Leicester City,1,4,1,25.0,0.25,1.00,13.3,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Match Report
2020-12-13,12:00 (17:30),Matchweek 12,Sun,Away,L,0,3,Southampton,0,3,0,0.0,0.00,,10.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Match Report
2020-12-17,20:00 (01:30),Matchweek 13,Thu,Home,L,2,3,Manchester Utd,2,12,6,50.0,0.17,0.33,14.8,1,0,0,1.6,1.6,0.14,+0.4,+0.4,Match Report
2020-12-20,12:00 (17:30),Matchweek 14,Sun,Away,D,1,1,Brighton,1,5,3,60.0,0.20,0.33,26.8,1,0,0,0.7,0.7,0.14,+0.3,+0.3,Match Report
2020-12-26,20:00 (01:30),Matchweek 15,Sat,Home,L,0,1,Everton,0,10,1,10.0,0.00,0.00,11.7,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Away,L,0,1,Burnley,0,7,2,28.6,0.00,0.00,15.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
2021-01-02,15:00 (20:30),Matchweek 17,Sat,Away,L,0,2,Crystal Palace,0,7,2,28.6,0.00,0.00,17.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
2021-01-12,18:00 (23:30),Matchweek 18,Tue,Home,W,1,0,Newcastle Utd,1,16,3,18.8,0.00,0.00,16.4,0,1,1,1.8,1.1,0.07,-0.8,-1.1,Match Report
2021-01-17,14:00 (19:30),Matchweek 19,Sun,Home,L,1,3,Tottenham,1,15,5,33.3,0.07,0.20,18.8,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Match Report
2021-01-27,20:15 (01:45),Matchweek 20,Wed,Away,W,2,1,Manchester Utd,2,5,3,60.0,0.40,0.67,13.7,0,0,0,1.0,1.0,0.19,+1.0,+1.0,Match Report
2021-01-30,15:00 (20:30),Matchweek 21,Sat,Away,L,0,1,Manchester City,0,4,1,25.0,0.00,0.00,21.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Match Report
2021-02-02,18:00 (23:30),Matchweek 22,Tue,Home,W,2,1,West Brom,2,14,6,42.9,0.14,0.33,15.8,1,0,0,1.1,1.1,0.08,+0.9,+0.9,Match Report
2021-02-07,19:15 (00:45),Matchweek 23,Sun,Home,L,1,2,Chelsea,0,8,3,37.5,0.00,0.00,20.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Match Report
2021-02-15,18:00 (23:30),Matchweek 24,Mon,Away,L,0,3,West Ham,0,8,5,62.5,0.00,0.00,14.6,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report
2021-02-20,20:00 (01:30),Matchweek 25,Sat,Away,L,0,1,Fulham,0,3,2,66.7,0.00,0.00,9.0,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Match Report
2021-02-28,19:15 (00:45),Matchweek 26,Sun,Home,L,0,2,Liverpool,0,9,3,33.3,0.00,0.00,15.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Match Report
2021-03-03,18:00 (23:30),Matchweek 29,Wed,Home,W,1,0,Aston Villa,1,9,2,22.2,0.11,0.50,23.1,0,0,0,1.0,1.0,0.12,0.0,0.0,Match Report
2021-03-06,15:00 (20:30),Matchweek 27,Sat,Home,L,0,2,Southampton,0,8,2,25.0,0.00,0.00,16.2,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Match Report
2021-03-14,14:00 (19:30),Matchweek 28,Sun,Away,L,0,5,Leicester City,0,1,0,0.0,0.00,,10.3,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Match Report
,,,,,4-2-23,16,50,,15,240,76,31.7,0.05,0.16,16.7,3,3,4,24.5,21.5,0.09,-9.5,-9.5,
