Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,15:00 (19:30),Matchweek 1,Sat,Away,L,0,1,Crystal Palace,0,9,5,55.6,0.00,0.00,15.6,2,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report
2020-09-20,12:00 (16:30),Matchweek 2,Sun,Home,L,2,5,Tottenham,2,13,5,38.5,0.08,0.20,19.0,1,1,1,1.5,0.8,0.06,+0.5,+0.2,Match Report
2020-09-26,20:00 (00:30),Matchweek 3,Sat,Away,W,1,0,Burnley,1,5,1,20.0,0.20,1.00,14.7,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Match Report
2020-10-04,12:00 (16:30),Matchweek 4,Sun,Home,W,2,0,West Brom,2,13,7,53.8,0.15,0.29,17.0,0,0,0,1.2,1.2,0.09,+0.8,+0.8,Match Report
2020-10-17,15:00 (19:30),Matchweek 5,Sat,Away,D,3,3,Chelsea,3,13,6,46.2,0.23,0.50,17.0,0,0,0,2.2,2.2,0.17,+0.8,+0.8,Match Report
2020-10-25,14:00 (19:30),Matchweek 6,Sun,Home,W,2,0,Everton,2,12,6,50.0,0.17,0.33,17.6,0,0,0,0.7,0.7,0.06,+1.3,+1.3,Match Report
2020-11-01,12:00 (17:30),Matchweek 7,Sun,Away,W,4,3,Aston Villa,4,9,4,44.4,0.44,1.00,17.4,2,0,0,0.7,0.7,0.08,+3.3,+3.3,Match Report
2020-11-06,20:00 (01:30),Matchweek 8,Fri,Home,W,2,0,Newcastle Utd,2,15,7,46.7,0.13,0.29,17.3,0,0,0,0.9,0.9,0.06,+1.1,+1.1,Match Report
2020-11-23,20:00 (01:30),Matchweek 9,Mon,Away,D,1,1,Wolves,1,7,2,28.6,0.14,0.50,15.6,0,0,0,1.5,1.5,0.21,-0.5,-0.5,Match Report
2020-11-29,14:00 (19:30),Matchweek 10,Sun,Home,L,2,3,Manchester Utd,2,10,5,50.0,0.20,0.40,18.9,1,0,0,0.4,0.4,0.04,+1.6,+1.6,Match Report
2020-12-07,20:00 (01:30),Matchweek 11,Mon,Away,W,2,1,Brighton,2,9,2,22.2,0.11,0.50,19.6,0,1,1,1.1,0.4,0.04,+0.9,+0.6,Match Report
2020-12-13,12:00 (17:30),Matchweek 12,Sun,Home,W,3,0,Sheffield Utd,3,16,6,37.5,0.19,0.50,16.2,1,0,0,1.4,1.4,0.09,+1.6,+1.6,Match Report
2020-12-16,18:00 (23:30),Matchweek 13,Wed,Away,D,1,1,Arsenal,1,13,3,23.1,0.08,0.33,22.5,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Match Report
2020-12-19,15:00 (20:30),Matchweek 14,Sat,Home,L,0,1,Manchester City,0,9,3,33.3,0.00,0.00,14.3,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Match Report
2020-12-26,15:00 (20:30),Matchweek 15,Sat,Away,D,0,0,Fulham,0,3,2,66.7,0.00,0.00,20.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Home,D,0,0,West Ham,0,8,3,37.5,0.00,0.00,19.6,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
2021-01-04,20:00 (01:30),Matchweek 17,Mon,Home,W,1,0,Liverpool,1,7,2,28.6,0.14,0.50,23.8,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Match Report
2021-01-16,20:00 (01:30),Matchweek 19,Sat,Away,L,0,2,Leicester City,0,9,3,33.3,0.00,0.00,15.4,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Match Report
2021-01-26,20:15 (01:45),Matchweek 20,Tue,Home,L,1,3,Arsenal,1,13,5,38.5,0.08,0.20,16.7,1,0,0,1.2,1.2,0.10,-0.2,-0.2,Match Report
2021-01-30,20:00 (01:30),Matchweek 21,Sat,Home,L,0,1,Aston Villa,0,20,4,20.0,0.00,0.00,16.9,1,0,0,1.7,1.7,0.09,-1.7,-1.7,Match Report
2021-02-02,20:15 (01:45),Matchweek 22,Tue,Away,L,0,9,Manchester Utd,0,3,1,33.3,0.00,0.00,20.4,1,0,0,0.5,0.5,0.18,-0.5,-0.5,Match Report
2021-02-06,15:00 (20:30),Matchweek 23,Sat,Away,L,2,3,Newcastle Utd,2,14,5,35.7,0.14,0.40,14.7,1,0,0,1.4,1.4,0.10,+0.6,+0.6,Match Report
2021-02-14,12:00 (17:30),Matchweek 24,Sun,Home,L,1,2,Wolves,1,7,3,42.9,0.14,0.33,16.7,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Match Report
2021-02-20,12:30 (18:00),Matchweek 25,Sat,Home,D,1,1,Chelsea,1,4,1,25.0,0.25,1.00,10.2,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Match Report
2021-02-23,18:00 (23:30),Matchweek 18,Tue,Away,L,0,3,Leeds United,0,13,5,38.5,0.00,0.00,17.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
2021-03-01,20:00 (01:30),Matchweek 26,Mon,Away,L,0,1,Everton,0,9,1,11.1,0.00,0.00,15.3,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Match Report
2021-03-06,15:00 (20:30),Matchweek 27,Sat,Away,W,2,0,Sheffield Utd,2,14,6,42.9,0.07,0.17,20.7,0,1,1,1.6,0.8,0.06,+0.4,+0.2,Match Report
2021-03-10,18:00 (23:30),Matchweek 33,Wed,Away,L,2,5,Manchester City,2,10,5,50.0,0.10,0.20,20.3,2,1,1,1.8,1.1,0.11,+0.2,-0.1,Match Report
2021-03-14,12:00 (17:30),Matchweek 28,Sun,Home,L,1,2,Brighton,1,9,4,44.4,0.11,0.25,18.1,1,0,0,1.0,1.0,0.11,0.0,0.0,Match Report
,,,,,9-6-14,36,51,,36,296,112,37.8,0.11,0.29,17.6,16,4,4,29.4,26.4,0.09,+6.6,+5.6,
