Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-13,16:30 (21:00),Matchweek 1,Sun,Home,L,0,1,Everton,0,10,5,50.0,0.00,0.00,11.6,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Match Report
2020-09-20,12:00 (16:30),Matchweek 2,Sun,Away,W,5,2,Southampton,5,9,6,66.7,0.56,0.83,17.5,0,0,0,2.5,2.5,0.28,+2.5,+2.5,Match Report
2020-09-27,14:00 (18:30),Matchweek 3,Sun,Home,D,1,1,Newcastle Utd,1,23,11,47.8,0.04,0.09,14.1,2,0,0,2.3,2.3,0.10,-1.3,-1.3,Match Report
2020-10-04,16:30 (21:00),Matchweek 4,Sun,Away,W,6,1,Manchester Utd,6,21,7,33.3,0.24,0.71,15.8,1,1,1,3.8,3.1,0.15,+2.2,+1.9,Match Report
2020-10-18,16:30 (21:00),Matchweek 5,Sun,Home,D,3,3,West Ham,3,11,6,54.5,0.27,0.50,19.1,1,0,0,1.2,1.2,0.11,+1.8,+1.8,Match Report
2020-10-26,20:00 (01:30),Matchweek 6,Mon,Away,W,1,0,Burnley,1,8,3,37.5,0.13,0.33,14.5,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Match Report
2020-11-01,19:15 (00:45),Matchweek 7,Sun,Home,W,2,1,Brighton,2,8,2,25.0,0.13,0.50,17.1,1,1,1,1.8,1.0,0.14,+0.2,0.0,Match Report
2020-11-08,12:00 (17:30),Matchweek 8,Sun,Away,W,1,0,West Brom,1,19,5,26.3,0.05,0.20,16.6,1,0,0,1.6,1.6,0.09,-0.6,-0.6,Match Report
2020-11-21,17:30 (23:00),Matchweek 9,Sat,Home,W,2,0,Manchester City,2,4,2,50.0,0.50,1.00,21.2,1,0,0,0.7,0.7,0.17,+1.3,+1.3,Match Report
2020-11-29,16:30 (22:00),Matchweek 10,Sun,Away,D,0,0,Chelsea,0,5,1,20.0,0.00,0.00,24.6,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Match Report
2020-12-06,16:30 (22:00),Matchweek 11,Sun,Home,W,2,0,Arsenal,2,6,3,50.0,0.33,0.67,20.2,1,0,0,0.5,0.5,0.08,+1.5,+1.5,Match Report
2020-12-13,14:15 (19:45),Matchweek 12,Sun,Away,D,1,1,Crystal Palace,1,14,6,42.9,0.07,0.17,20.5,3,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
2020-12-16,20:00 (01:30),Matchweek 13,Wed,Away,L,1,2,Liverpool,1,8,3,37.5,0.13,0.33,20.2,1,0,0,1.3,1.3,0.17,-0.3,-0.3,Match Report
2020-12-20,14:15 (19:45),Matchweek 14,Sun,Home,L,0,2,Leicester City,0,9,3,33.3,0.00,0.00,15.0,2,0,0,1.1,1.1,0.12,-1.1,-1.1,Match Report
2020-12-27,19:15 (00:45),Matchweek 15,Sun,Away,D,1,1,Wolves,1,7,3,42.9,0.14,0.33,14.9,1,0,0,0.4,0.4,0.06,+0.6,+0.6,Match Report
2021-01-02,12:30 (18:00),Matchweek 17,Sat,Home,W,3,0,Leeds United,3,19,6,31.6,0.11,0.33,18.8,0,1,1,2.6,1.8,0.10,+0.4,+0.2,Match Report
2021-01-13,20:15 (01:45),Matchweek 16,Wed,Home,D,1,1,Fulham,1,15,6,40.0,0.07,0.17,15.2,1,0,0,2.3,2.3,0.16,-1.3,-1.3,Match Report
2021-01-17,14:00 (19:30),Matchweek 19,Sun,Away,W,3,1,Sheffield Utd,3,14,5,35.7,0.21,0.60,20.9,0,0,0,1.2,1.2,0.09,+1.8,+1.8,Match Report
2021-01-28,20:00 (01:30),Matchweek 20,Thu,Home,L,1,3,Liverpool,1,3,2,66.7,0.33,0.50,34.9,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Match Report
2021-01-31,19:15 (00:45),Matchweek 21,Sun,Away,L,0,1,Brighton,0,8,4,50.0,0.00,0.00,19.4,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
2021-02-04,20:00 (01:30),Matchweek 22,Thu,Home,L,0,1,Chelsea,0,7,2,28.6,0.00,0.00,19.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Match Report
2021-02-07,12:00 (17:30),Matchweek 23,Sun,Home,W,2,0,West Brom,2,13,6,46.2,0.15,0.33,15.4,0,0,0,1.5,1.5,0.11,+0.5,+0.5,Match Report
2021-02-13,17:30 (23:00),Matchweek 24,Sat,Away,L,0,3,Manchester City,0,7,3,42.9,0.00,0.00,19.5,1,0,0,0.6,0.6,0.08,-0.6,-0.6,Match Report
2021-02-21,12:00 (17:30),Matchweek 25,Sun,Away,L,1,2,West Ham,1,20,4,20.0,0.05,0.25,18.4,2,0,0,1.2,1.2,0.06,-0.2,-0.2,Match Report
2021-02-28,14:00 (19:30),Matchweek 26,Sun,Home,W,4,0,Burnley,4,16,7,43.8,0.25,0.57,18.0,0,0,0,2.2,2.2,0.14,+1.8,+1.8,Match Report
2021-03-04,18:00 (23:30),Matchweek 33,Thu,Away,W,1,0,Fulham,0,9,2,22.2,0.00,0.00,18.1,2,0,0,1.4,1.4,0.16,-1.4,-1.4,Match Report
2021-03-07,19:15 (00:45),Matchweek 27,Sun,Home,W,4,1,Crystal Palace,4,12,5,41.7,0.33,0.80,11.6,1,0,0,2.7,2.7,0.23,+1.3,+1.3,Match Report
2021-03-14,16:30 (22:00),Matchweek 28,Sun,Away,L,1,2,Arsenal,1,6,2,33.3,0.17,0.50,17.2,2,0,0,0.6,0.6,0.10,+0.4,+0.4,Match Report
2021-03-21,19:30 (01:00),Matchweek 18,Sun,Away,W,2,0,Aston Villa,2,8,2,25.0,0.13,0.50,18.4,0,1,1,2.2,1.5,0.18,-0.2,-0.5,Match Report
,,,,,14-6-9,49,30,,48,319,122,38.2,0.14,0.36,17.4,27,4,4,39.7,36.7,0.12,+8.3,+7.3,
