Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-19,17:30 (22:00),Matchweek 2,Sat,Home,L,1,3,Crystal Palace,1,17,4,23.5,0.06,0.25,18.9,1,0,0,1.1,1.1,0.06,-0.1,-0.1,Match Report
2020-09-26,12:30 (17:00),Matchweek 3,Sat,Away,W,3,2,Brighton,2,6,2,33.3,0.17,0.50,17.8,0,1,1,1.1,0.3,0.05,+0.9,+0.7,Match Report
2020-10-04,16:30 (21:00),Matchweek 4,Sun,Home,L,1,6,Tottenham,1,4,1,25.0,0.00,0.00,22.7,0,1,1,0.9,0.2,0.04,+0.1,-0.2,Match Report
2020-10-17,20:00 (00:30),Matchweek 5,Sat,Away,W,4,1,Newcastle Utd,4,27,11,40.7,0.15,0.36,19.5,0,0,1,2.7,2.0,0.07,+1.3,+2.0,Match Report
2020-10-24,17:30 (22:00),Matchweek 6,Sat,Home,D,0,0,Chelsea,0,14,4,28.6,0.00,0.00,16.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
2020-11-01,16:30 (22:00),Matchweek 7,Sun,Home,L,0,1,Arsenal,0,9,2,22.2,0.00,0.00,18.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Match Report
2020-11-07,12:30 (18:00),Matchweek 8,Sat,Away,W,3,1,Everton,3,13,5,38.5,0.23,0.60,20.8,2,0,0,1.6,1.6,0.12,+1.4,+1.4,Match Report
2020-11-21,20:00 (01:30),Matchweek 9,Sat,Home,W,1,0,West Brom,1,16,6,37.5,0.00,0.00,18.4,1,1,1,2.5,1.8,0.11,-1.5,-1.8,Match Report
2020-11-29,14:00 (19:30),Matchweek 10,Sun,Away,W,3,2,Southampton,3,15,6,40.0,0.20,0.50,16.0,0,0,0,2.3,2.3,0.16,+0.7,+0.7,Match Report
2020-12-05,17:30 (23:00),Matchweek 11,Sat,Away,W,3,1,West Ham,3,15,6,40.0,0.20,0.50,18.6,0,0,0,1.9,1.9,0.13,+1.1,+1.1,Match Report
