Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-13,14:00 (18:30),Matchweek 1,Sun,Home,L,0,3,Leicester City,0,7,1,14.3,0.00,0.00,17.1,1,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
2020-09-19,12:30 (17:00),Matchweek 2,Sat,Away,L,2,5,Everton,2,6,4,66.7,0.33,0.50,22.1,1,0,0,0.3,0.3,0.05,+1.7,+1.7,Match Report
2020-09-26,17:30 (22:00),Matchweek 3,Sat,Home,D,3,3,Chelsea,3,9,3,33.3,0.33,1.00,20.5,0,0,0,1.0,1.0,0.11,+2.0,+2.0,Match Report
2020-10-04,12:00 (16:30),Matchweek 4,Sun,Away,L,0,2,Southampton,0,5,3,60.0,0.00,0.00,21.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Match Report
2020-10-19,17:30 (22:00),Matchweek 5,Mon,Home,D,0,0,Burnley,0,13,6,46.2,0.00,0.00,16.2,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Match Report
2020-10-26,17:30 (23:00),Matchweek 6,Mon,Away,D,1,1,Brighton,1,9,3,33.3,0.11,0.33,20.5,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Match Report
2020-11-02,17:30 (23:00),Matchweek 7,Mon,Away,L,0,2,Fulham,0,10,1,10.0,0.00,0.00,20.6,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
2020-11-08,12:00 (17:30),Matchweek 8,Sun,Home,L,0,1,Tottenham,0,12,2,16.7,0.00,0.00,16.4,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
2020-11-21,20:00 (01:30),Matchweek 9,Sat,Away,L,0,1,Manchester Utd,0,7,2,28.6,0.00,0.00,15.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
2020-11-28,20:00 (01:30),Matchweek 10,Sat,Home,W,1,0,Sheffield Utd,1,17,6,35.3,0.06,0.17,16.1,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report
2020-12-06,12:00 (17:30),Matchweek 11,Sun,Home,L,1,5,Crystal Palace,1,9,4,44.4,0.11,0.25,16.0,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Match Report
2020-12-12,15:00 (20:30),Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,1,13,3,23.1,0.08,0.33,22.5,1,0,0,0.6,0.6,0.05,+0.4,+0.4,Match Report
2020-12-15,20:00 (01:30),Matchweek 13,Tue,Away,D,1,1,Manchester City,0,5,1,20.0,0.00,0.00,18.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Match Report
2020-12-20,19:15 (00:45),Matchweek 14,Sun,Home,L,0,3,Aston Villa,0,1,1,100.0,0.00,0.00,34.1,1,0,0,0.0,0.0,0.02,0.0,0.0,Match Report
2020-12-27,16:30 (22:00),Matchweek 15,Sun,Away,D,1,1,Liverpool,1,5,3,60.0,0.20,0.33,16.5,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Home,L,0,5,Leeds United,0,4,1,25.0,0.00,0.00,20.2,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Match Report
2021-01-02,20:00 (01:30),Matchweek 17,Sat,Home,L,0,4,Arsenal,0,7,3,42.9,0.00,0.00,18.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Match Report
2021-01-16,12:30 (18:00),Matchweek 19,Sat,Away,W,3,2,Wolves,3,10,3,30.0,0.10,0.33,18.7,0,2,2,2.3,0.7,0.08,+0.7,+0.3,Match Report
2021-01-19,18:00 (23:30),Matchweek 18,Tue,Away,L,1,2,West Ham,1,6,2,33.3,0.17,0.50,19.3,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Match Report
2021-01-26,20:15 (01:45),Matchweek 20,Tue,Home,L,0,5,Manchester City,0,4,1,25.0,0.00,0.00,11.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Match Report
2021-01-30,15:00 (20:30),Matchweek 21,Sat,Home,D,2,2,Fulham,2,5,3,60.0,0.40,0.67,14.8,0,0,0,0.6,0.6,0.12,+1.4,+1.4,Match Report
2021-02-02,18:00 (23:30),Matchweek 22,Tue,Away,L,1,2,Sheffield Utd,1,9,4,44.4,0.11,0.25,13.3,0,0,0,1.5,1.5,0.22,-0.5,-0.5,Match Report
2021-02-07,12:00 (17:30),Matchweek 23,Sun,Away,L,0,2,Tottenham,0,4,1,25.0,0.00,0.00,10.1,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Match Report
2021-02-14,14:00 (19:30),Matchweek 24,Sun,Home,D,1,1,Manchester Utd,1,7,3,42.9,0.14,0.33,13.5,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Match Report
2021-02-20,15:00 (20:30),Matchweek 25,Sat,Away,D,0,0,Burnley,0,10,3,30.0,0.00,0.00,22.1,2,0,0,1.0,1.0,0.10,-1.0,-1.0,Match Report
2021-02-27,15:00 (20:30),Matchweek 26,Sat,Home,W,1,0,Brighton,1,6,2,33.3,0.17,0.50,17.5,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Match Report
2021-03-04,18:00 (23:30),Matchweek 29,Thu,Home,L,0,1,Everton,0,11,3,27.3,0.00,0.00,15.8,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Match Report
2021-03-07,12:00 (17:30),Matchweek 27,Sun,Home,D,0,0,Newcastle Utd,0,13,2,15.4,0.00,0.00,16.5,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Match Report
2021-03-13,15:00 (20:30),Matchweek 28,Sat,Away,L,0,1,Crystal Palace,0,12,1,8.3,0.00,0.00,17.9,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
,,,,,3-9-17,20,57,,19,236,75,31.8,0.07,0.23,17.7,9,2,2,20.8,19.3,0.08,-1.8,-2.3,
