Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-12,20:00 (00:30),Matchweek 1,Sat,Home,L,0,2,Newcastle Utd,0,15,3,20.0,0.00,0.00,15.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report
2020-09-19,20:00 (00:30),Matchweek 2,Sat,Away,L,1,2,Arsenal,1,15,3,20.0,0.07,0.33,17.4,0,0,0,1.9,1.9,0.13,-0.9,-0.9,Match Report
2020-09-27,19:00 (23:30),Matchweek 3,Sun,Home,W,4,0,Wolves,3,15,7,46.7,0.20,0.43,12.3,0,0,0,1.6,1.6,0.11,+1.4,+1.4,Match Report
2020-10-04,12:00 (16:30),Matchweek 4,Sun,Away,W,3,0,Leicester City,3,13,6,46.2,0.23,0.50,13.6,0,0,0,1.6,1.6,0.13,+1.4,+1.4,Match Report
2020-10-18,16:30 (21:00),Matchweek 5,Sun,Away,D,3,3,Tottenham,2,13,4,30.8,0.15,0.50,14.5,1,0,0,2.1,2.1,0.16,-0.1,-0.1,Match Report
2020-10-24,12:30 (17:00),Matchweek 6,Sat,Home,D,1,1,Manchester City,1,6,2,33.3,0.17,0.50,20.6,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Match Report
2020-10-31,17:30 (23:00),Matchweek 7,Sat,Away,L,1,2,Liverpool,1,4,3,75.0,0.25,0.33,13.1,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Match Report
2020-11-07,20:00 (01:30),Matchweek 8,Sat,Home,W,1,0,Fulham,1,16,7,43.8,0.06,0.14,14.5,1,0,0,1.3,1.3,0.08,-0.3,-0.3,Match Report
2020-11-22,14:00 (19:30),Matchweek 9,Sun,Away,W,1,0,Sheffield Utd,1,15,3,20.0,0.07,0.33,12.0,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Match Report
2020-11-30,20:00 (01:30),Matchweek 10,Mon,Home,W,2,1,Aston Villa,2,6,2,33.3,0.33,1.00,14.1,0,0,0,0.6,0.6,0.09,+1.4,+1.4,Match Report
2020-12-05,17:30 (23:00),Matchweek 11,Sat,Home,L,1,3,Manchester Utd,1,19,6,31.6,0.05,0.17,15.7,1,0,0,2.2,2.2,0.12,-1.2,-1.2,Match Report
2020-12-11,20:00 (01:30),Matchweek 12,Fri,Away,W,2,1,Leeds United,2,19,7,36.8,0.11,0.29,15.5,1,0,0,1.9,1.9,0.10,+0.1,+0.1,Match Report
2020-12-16,20:00 (01:30),Matchweek 13,Wed,Home,D,1,1,Crystal Palace,1,9,2,22.2,0.11,0.50,19.1,1,0,0,0.3,0.3,0.03,+0.7,+0.7,Match Report
2020-12-21,20:00 (01:30),Matchweek 14,Mon,Away,L,0,3,Chelsea,0,6,0,0.0,0.00,,12.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Match Report
2020-12-27,14:15 (19:45),Matchweek 15,Sun,Home,D,2,2,Brighton,2,11,4,36.4,0.18,0.50,12.2,0,0,0,1.2,1.2,0.12,+0.8,+0.8,Match Report
2020-12-29,18:00 (23:30),Matchweek 16,Tue,Away,D,0,0,Southampton,0,7,3,42.9,0.00,0.00,13.5,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Match Report
2021-01-01,17:30 (23:00),Matchweek 17,Fri,Away,W,1,0,Everton,1,11,5,45.5,0.09,0.20,16.5,1,0,0,1.3,1.3,0.12,-0.3,-0.3,Match Report
2021-01-16,15:00 (20:30),Matchweek 19,Sat,Home,W,1,0,Burnley,1,14,3,21.4,0.07,0.33,13.5,1,0,0,1.7,1.7,0.12,-0.7,-0.7,Match Report
2021-01-19,18:00 (23:30),Matchweek 18,Tue,Home,W,2,1,West Brom,2,14,6,42.9,0.14,0.33,17.2,1,0,0,1.3,1.3,0.10,+0.7,+0.7,Match Report
2021-01-26,18:00 (23:30),Matchweek 20,Tue,Away,W,3,2,Crystal Palace,3,17,7,41.2,0.18,0.43,14.2,0,0,0,3.0,3.0,0.20,0.0,0.0,Match Report
2021-01-31,16:30 (22:00),Matchweek 21,Sun,Home,L,1,3,Liverpool,1,8,2,25.0,0.13,0.50,13.0,0,0,0,1.0,1.0,0.12,0.0,0.0,Match Report
2021-02-03,20:15 (01:45),Matchweek 22,Wed,Away,W,3,1,Aston Villa,3,20,9,45.0,0.15,0.33,18.5,1,0,0,1.4,1.4,0.07,+1.6,+1.6,Match Report
2021-02-06,17:30 (23:00),Matchweek 23,Sat,Away,D,0,0,Fulham,0,8,1,12.5,0.00,0.00,12.7,1,0,0,0.8,0.8,0.10,-0.8,-0.8,Match Report
2021-02-15,18:00 (23:30),Matchweek 24,Mon,Home,W,3,0,Sheffield Utd,3,12,8,66.7,0.17,0.25,18.0,2,1,1,1.9,1.2,0.10,+1.1,+0.8,Match Report
2021-02-21,12:00 (17:30),Matchweek 25,Sun,Home,W,2,1,Tottenham,2,4,4,100.0,0.50,0.50,6.9,0,0,0,1.1,1.1,0.37,+0.9,+0.9,Match Report
2021-02-27,12:30 (18:00),Matchweek 26,Sat,Away,L,1,2,Manchester City,1,9,3,33.3,0.11,0.33,11.8,0,0,0,1.6,1.6,0.23,-0.6,-0.6,Match Report
2021-03-08,20:00 (01:30),Matchweek 27,Mon,Home,W,2,0,Leeds United,2,15,4,26.7,0.13,0.50,19.4,1,0,1,1.9,1.0,0.07,+0.1,+1.0,Match Report
2021-03-14,19:15 (00:45),Matchweek 28,Sun,Away,L,0,1,Manchester Utd,0,7,0,0.0,0.00,,13.0,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Match Report
2021-03-21,15:00 (20:30),Matchweek 29,Sun,Home,D,3,3,Arsenal,3,15,5,33.3,0.20,0.60,12.4,0,0,0,2.3,2.3,0.16,+0.7,+0.7,Match Report
,,,,,14-7-8,45,35,,43,343,119,34.7,0.12,0.35,15.0,13,1,2,40.3,38.7,0.12,+2.7,+3.3,
