Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2020-09-14,18:00 (22:30),Matchweek 1,Mon,Away,W,2,0,Sheffield Utd,2,11,4,36.4,0.18,0.50,16.3,0,0,0,1.1,1.1,0.12,+0.9,+0.9,Match Report
2020-09-21,20:15 (00:45),Matchweek 2,Mon,Home,L,1,3,Manchester City,1,10,1,10.0,0.10,1.00,16.7,0,0,0,1.0,1.0,0.10,0.0,0.0,Match Report
2020-09-27,19:00 (23:30),Matchweek 3,Sun,Away,L,0,4,West Ham,0,11,2,18.2,0.00,0.00,19.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
2020-10-04,14:00 (18:30),Matchweek 4,Sun,Home,W,1,0,Fulham,1,14,5,35.7,0.07,0.20,18.4,1,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
2020-10-19,20:00 (00:30),Matchweek 5,Mon,Away,W,1,0,Leeds United,1,7,3,42.9,0.14,0.33,16.6,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Match Report
2020-10-25,16:30 (22:00),Matchweek 6,Sun,Home,D,1,1,Newcastle Utd,1,16,4,25.0,0.06,0.25,22.1,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Match Report
2020-10-30,20:00 (01:30),Matchweek 7,Fri,Home,W,2,0,Crystal Palace,2,15,5,33.3,0.13,0.40,18.6,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Match Report
2020-11-08,14:00 (19:30),Matchweek 8,Sun,Away,L,0,1,Leicester City,0,7,2,28.6,0.00,0.00,20.3,1,0,0,0.5,0.5,0.07,-0.5,-0.5,Match Report
2020-11-23,20:00 (01:30),Matchweek 9,Mon,Home,D,1,1,Southampton,1,20,9,45.0,0.05,0.11,15.5,1,0,0,1.9,1.9,0.10,-0.9,-0.9,Match Report
2020-11-29,19:15 (00:45),Matchweek 10,Sun,Away,W,2,1,Arsenal,2,11,5,45.5,0.18,0.40,11.4,0,0,0,1.4,1.4,0.14,+0.6,+0.6,Match Report
2020-12-06,19:15 (00:45),Matchweek 11,Sun,Away,L,0,4,Liverpool,0,9,3,33.3,0.00,0.00,18.3,1,0,0,0.5,0.5,0.05,-0.5,-0.5,Match Report
